WEEK,REGION,COUNTRY,ADMIN1,EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES,POPULATION_EXPOSURE,DISORDER_TYPE,ID,CENTROID_LATITUDE,CENTROID_LONGITUDE
2026-03-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,5,2,6936,Political violence,723,-0.5508,28.7185
2026-03-21,Middle Africa,Democratic Republic of Congo,Tshopo,Strategic developments,Other,1,0,,Strategic developments,729,0.2052,25.633
2026-03-14,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,1,10,245,Political violence,710,2.1295,29.0513
2026-03-14,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Change to group/activity,1,0,,Strategic developments,710,2.1295,29.0513
2026-03-14,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Looting/property destruction,1,0,,Strategic developments,710,2.1295,29.0513
2026-03-14,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Other,2,0,,Strategic developments,710,2.1295,29.0513
2026-03-14,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Abduction/forced disappearance,2,0,87296,Political violence,710,2.1295,29.0513
2026-03-14,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,4,34,220790,Political violence,710,2.1295,29.0513
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,9,13,201574,Political violence,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Non-state actor overtakes territory,1,0,3828,Political violence,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Remote explosive/landmine/IED,1,1,,Political violence,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Shelling/artillery/missile attack,1,0,45782,Political violence,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Arrests,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Change to group/activity,5,0,,Strategic developments,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Disrupted weapons use,2,0,,Strategic developments,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Headquarters or base established,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Non-violent transfer of territory,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Other,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,3,4,73548,Political violence,723,-0.5508,28.7185
2026-03-14,Middle Africa,Democratic Republic of Congo,Tshopo,Strategic developments,Disrupted weapons use,1,0,,Strategic developments,729,0.2052,25.633
2026-03-14,Middle Africa,Democratic Republic of Congo,Tshopo,Strategic developments,Other,2,0,,Strategic developments,729,0.2052,25.633
2026-03-07,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,7,17,108805,Political violence,710,2.1295,29.0513
2026-03-07,Middle Africa,Democratic Republic of Congo,Ituri,Explosions/Remote violence,Shelling/artillery/missile attack,1,4,92021,Political violence,710,2.1295,29.0513
2026-03-07,Middle Africa,Democratic Republic of Congo,Ituri,Protests,Peaceful protest,1,0,34644,Demonstrations,710,2.1295,29.0513
2026-03-07,Middle Africa,Democratic Republic of Congo,Ituri,Protests,Protest with intervention,1,0,34644,Demonstrations,710,2.1295,29.0513
2026-03-07,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,9,30,99191,Political violence,710,2.1295,29.0513
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,16,8,64298,Political violence,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Government regains territory,2,3,7076,Political violence,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Air/drone strike,2,6,77259,Political violence,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Protests,Peaceful protest,1,0,72918,Demonstrations,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Protests,Protest with intervention,1,0,72918,Demonstrations,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Riots,Violent demonstration,1,0,9879,Demonstrations,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Agreement,3,0,,Strategic developments,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Change to group/activity,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Looting/property destruction,1,0,,Strategic developments,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,2,0,13601,Political violence,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,2,1,11610,Political violence,723,-0.5508,28.7185
2026-03-07,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Sexual violence,1,0,5830,Political violence,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,9,9,160644,Political violence,710,2.1295,29.0513
2026-02-28,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Change to group/activity,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-28,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Disrupted weapons use,4,0,,Strategic developments,710,2.1295,29.0513
2026-02-28,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Headquarters or base established,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-28,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Other,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-28,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Attack,1,1,46594,Political violence,710,2.1295,29.0513
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,13,4,50304,Political violence,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Non-state actor overtakes territory,3,0,9516,Political violence,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Riots,Mob violence,1,0,4159,Political violence,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Riots,Violent demonstration,1,0,4159,Demonstrations,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Change to group/activity,5,0,,Strategic developments,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Looting/property destruction,2,0,,Strategic developments,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Non-violent transfer of territory,3,0,,Strategic developments,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Other,3,0,,Strategic developments,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,4,4,47851,Political violence,723,-0.5508,28.7185
2026-02-28,Middle Africa,Democratic Republic of Congo,Tshopo,Explosions/Remote violence,Air/drone strike,1,0,23716,Political violence,729,0.2052,25.633
2026-02-28,Middle Africa,Democratic Republic of Congo,Tshopo,Riots,Mob violence,1,1,238689,Political violence,729,0.2052,25.633
2026-02-28,Middle Africa,Democratic Republic of Congo,Tshopo,Strategic developments,Arrests,1,0,,Strategic developments,729,0.2052,25.633
2026-02-21,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,2,4,3227,Political violence,710,2.1295,29.0513
2026-02-21,Middle Africa,Democratic Republic of Congo,Ituri,Riots,Mob violence,1,3,4253,Political violence,710,2.1295,29.0513
2026-02-21,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Agreement,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-21,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Looting/property destruction,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-21,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Other,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-21,Middle Africa,Democratic Republic of Congo,Ituri,Violence against civilians,Abduction/forced disappearance,1,0,2004,Political violence,710,2.1295,29.0513
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,26,2,227477,Political violence,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Government regains territory,3,0,15441,Political violence,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Non-state actor overtakes territory,15,0,186331,Political violence,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Air/drone strike,9,6,117598,Political violence,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Explosions/Remote violence,Shelling/artillery/missile attack,2,0,22502,Political violence,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Protests,Peaceful protest,3,0,82747,Demonstrations,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Riots,Mob violence,1,0,4159,Political violence,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Change to group/activity,3,0,,Strategic developments,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Headquarters or base established,1,0,,Strategic developments,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Looting/property destruction,3,0,,Strategic developments,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Other,4,0,,Strategic developments,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,2,0,9408,Political violence,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,5,21,136674,Political violence,723,-0.5508,28.7185
2026-02-21,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Sexual violence,1,0,45782,Political violence,723,-0.5508,28.7185
2026-02-14,Middle Africa,Democratic Republic of Congo,Ituri,Battles,Armed clash,1,1,15812,Political violence,710,2.1295,29.0513
2026-02-14,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Change to group/activity,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-14,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Looting/property destruction,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-14,Middle Africa,Democratic Republic of Congo,Ituri,Strategic developments,Other,1,0,,Strategic developments,710,2.1295,29.0513
2026-02-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Armed clash,17,1,302964,Political violence,723,-0.5508,28.7185
2026-02-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Battles,Non-state actor overtakes territory,3,0,91463,Political violence,723,-0.5508,28.7185
2026-02-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Agreement,2,0,,Strategic developments,723,-0.5508,28.7185
2026-02-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Disrupted weapons use,2,0,,Strategic developments,723,-0.5508,28.7185
2026-02-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Looting/property destruction,1,0,,Strategic developments,723,-0.5508,28.7185
2026-02-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Strategic developments,Other,1,0,,Strategic developments,723,-0.5508,28.7185
2026-02-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Abduction/forced disappearance,3,0,27729,Political violence,723,-0.5508,28.7185
2026-02-14,Middle Africa,Democratic Republic of Congo,Nord-Kivu,Violence against civilians,Attack,5,3,162335,Political violence,723,-0.5508,28.7185
