nom,date,national_cumulative_confirmed_deaths
Sona-Bata,2026-05-14,4
Nsele,2026-05-14,4
Kanzala,2026-05-14,4
Tshikapa,2026-05-14,4
Kingasani,2026-05-14,4
Kimbanseke,2026-05-14,4
Bwamanda,2026-05-14,4
Kungu,2026-05-14,4
Loko,2026-05-14,4
Bangabola,2026-05-14,4
Boso Mondanda,2026-05-14,4
Budjala,2026-05-14,4
Binga,2026-05-14,4
Yamaluka,2026-05-14,4
Boso Manzi,2026-05-14,4
Karawa,2026-05-14,4
Bominenge,2026-05-14,4
Gemena,2026-05-14,4
Mbaya,2026-05-14,4
Bulu,2026-05-14,4
Tandala,2026-05-14,4
Kibombo,2026-05-14,4
Kindu,2026-05-14,4
Alunguli,2026-05-14,4
Kokolo,2026-05-14,4
Police,2026-05-14,4
Makiso-Kisangani,2026-05-14,4
Mangobo,2026-05-14,4
Kabondo,2026-05-14,4
Tshopo,2026-05-14,4
Kaniama,2026-05-14,4
Kalemie,2026-05-14,4
Kansimba,2026-05-14,4
Butumba,2026-05-14,4
Kinkondja,2026-05-14,4
Baka,2026-05-14,4
Kiyambi,2026-05-14,4
Manono,2026-05-14,4
Samba,2026-05-14,4
Kasongo,2026-05-14,4
Kunda,2026-05-14,4
Saramabila,2026-05-14,4
Kampene,2026-05-14,4
Nyemba,2026-05-14,4
Nyunzu,2026-05-14,4
Kabambare,2026-05-14,4
Pangi,2026-05-14,4
Kalima,2026-05-14,4
Yalimbongo,2026-05-14,4
Aketi,2026-05-14,4
Lolo,2026-05-14,4
Yamongili,2026-05-14,4
Abuzi,2026-05-14,4
Yambuku,2026-05-14,4
Wasolo,2026-05-14,4
Bosondjo,2026-05-14,4
Bumba,2026-05-14,4
Mondombe,2026-05-14,4
Djolu,2026-05-14,4
Opienge,2026-05-14,4
Obokote,2026-05-14,4
Lowa,2026-05-14,4
Wanierukula,2026-05-14,4
Lubutu,2026-05-14,4
Kitenda,2026-05-14,4
Kasongo Lunda,2026-05-14,4
Popokabaka,2026-05-14,4
Kimvula,2026-05-14,4
Maluku I,2026-05-14,4
Kimpese,2026-05-14,4
Nsona-Mpangu,2026-05-14,4
Kangu,2026-05-14,4
Kuimba,2026-05-14,4
Kinkonzi,2026-05-14,4
Mangembo,2026-05-14,4
Gombe-Matadi,2026-05-14,4
Masa,2026-05-14,4
Bokonzi,2026-05-14,4
Mawuya,2026-05-14,4
Zongo,2026-05-14,4
Libenge,2026-05-14,4
Bili (Nord-Ubangi),2026-05-14,4
Gbadolite,2026-05-14,4
Mobayi Mbongo,2026-05-14,4
Yakoma,2026-05-14,4
Monga,2026-05-14,4
Bondo,2026-05-14,4
Bili (Bas-Uele),2026-05-14,4
Ango,2026-05-14,4
Opala,2026-05-14,4
Kahemba,2026-05-14,4
Gungu,2026-05-14,4
Kitangwa,2026-05-14,4
Mukedi,2026-05-14,4
Kongolo,2026-05-14,4
Mbulula,2026-05-14,4
Kabalo,2026-05-14,4
Bukama,2026-05-14,4
Kabondo Dianda,2026-05-14,4
Kabongo,2026-05-14,4
Songa,2026-05-14,4
Kayamba,2026-05-14,4
Kitenge,2026-05-14,4
Ankoro,2026-05-14,4
Mulongo,2026-05-14,4
Lwamba,2026-05-14,4
Mukanga,2026-05-14,4
Malemba,2026-05-14,4
Kinda,2026-05-14,4
Kamina,2026-05-14,4
Kikwit-Sud,2026-05-14,4
Kenya,2026-05-14,4
Kamalondo,2026-05-14,4
Tshamilemba,2026-05-14,4
Pweto,2026-05-14,4
Lukafu,2026-05-14,4
Mufunga Sampwe,2026-05-14,4
Kilwa,2026-05-14,4
Kapolowe,2026-05-14,4
Panda,2026-05-14,4
Kashobwe,2026-05-14,4
Kampemba,2026-05-14,4
Rwashi,2026-05-14,4
Bena Tshiadi,2026-05-14,4
Yangala,2026-05-14,4
Ilebo,2026-05-14,4
Luebo,2026-05-14,4
Bena Leka,2026-05-14,4
Muetshi,2026-05-14,4
Tshikula,2026-05-14,4
Dibaya,2026-05-14,4
Kalomba,2026-05-14,4
Tshibala,2026-05-14,4
Mushenge,2026-05-14,4
Bulape,2026-05-14,4
Masuika,2026-05-14,4
Luiza,2026-05-14,4
Katoka,2026-05-14,4
Ndesha,2026-05-14,4
Tshikaji,2026-05-14,4
Bilomba,2026-05-14,4
Ndekesha,2026-05-14,4
Bunkonde,2026-05-14,4
Mikalayi,2026-05-14,4
Luambo,2026-05-14,4
Katende,2026-05-14,4
Ndjoko-Mpunda,2026-05-14,4
Lubondaie,2026-05-14,4
Kakenge,2026-05-14,4
Rwampara,2026-05-14,4
Bunia,2026-05-14,4
Jiba,2026-05-14,4
Linga,2026-05-14,4
Mangala,2026-05-14,4
Damas,2026-05-14,4
Fataki,2026-05-14,4
Drodro,2026-05-14,4
Tchomia,2026-05-14,4
Rethy,2026-05-14,4
Nyakunde,2026-05-14,4
Nizi,2026-05-14,4
Bambu,2026-05-14,4
Kilo,2026-05-14,4
Mongbalu,2026-05-14,4
Komanda,2026-05-14,4
Gethy,2026-05-14,4
Boga,2026-05-14,4
Nia-Nia,2026-05-14,4
Mandima,2026-05-14,4
Lolwa,2026-05-14,4
Lita,2026-05-14,4
Boma-Mangbetu,2026-05-14,4
Isiro,2026-05-14,4
Wamba,2026-05-14,4
Doruma,2026-05-14,4
Pawa,2026-05-14,4
Niangara,2026-05-14,4
Rungu,2026-05-14,4
Mambasa,2026-05-14,4
Rimba,2026-05-14,4
Logo,2026-05-14,4
Angumu,2026-05-14,4
Nyarambe,2026-05-14,4
Mahagi,2026-05-14,4
Makoro,2026-05-14,4
Kambala,2026-05-14,4
Biringi,2026-05-14,4
Laybo,2026-05-14,4
Ariwara,2026-05-14,4
Adi,2026-05-14,4
Aru,2026-05-14,4
Adja,2026-05-14,4
Aungba,2026-05-14,4
Faradje,2026-05-14,4
Gombari,2026-05-14,4
Dungu,2026-05-14,4
Watsa,2026-05-14,4
Demba,2026-05-14,4
Mutoto,2026-05-14,4
Lubunga (Kasaï-Central),2026-05-14,4
Kananga,2026-05-14,4
Maluku II,2026-05-14,4
Nselo,2026-05-14,4
Lomela,2026-05-14,4
Nioki,2026-05-14,4
Bolobo,2026-05-14,4
Mushie,2026-05-14,4
Kwamouth,2026-05-14,4
Mokala,2026-05-14,4
Kisanji,2026-05-14,4
Lukonga,2026-05-14,4
Tunda,2026-05-14,4
Bosobolo,2026-05-14,4
Businga,2026-05-14,4
Boto,2026-05-14,4
Lisala,2026-05-14,4
Ndage,2026-05-14,4
Mwela Lembwa,2026-05-14,4
Kingabwa,2026-05-14,4
Likati,2026-05-14,4
Yahuma,2026-05-14,4
Ikela,2026-05-14,4
Lubunga (Tshopo),2026-05-14,4
Ubundu,2026-05-14,4
Kailo,2026-05-14,4
Ototo,2026-05-14,4
Tshumbe,2026-05-14,4
Lusangi,2026-05-14,4
Bobozo,2026-05-14,4
Punia,2026-05-14,4
Kyondo,2026-05-14,4
Mabalako,2026-05-14,4
Biena,2026-05-14,4
Masereka,2026-05-14,4
Lubero,2026-05-14,4
Manguredjipa,2026-05-14,4
Mutwanga,2026-05-14,4
Kamango,2026-05-14,4
Oicha,2026-05-14,4
Binza,2026-05-14,4
Rwanguba,2026-05-14,4
Rutshuru,2026-05-14,4
Birambizo,2026-05-14,4
Beni,2026-05-14,4
Vuhovi,2026-05-14,4
Musienene,2026-05-14,4
Butembo,2026-05-14,4
Katwa,2026-05-14,4
Kayna,2026-05-14,4
Goma,2026-05-14,4
Karisimbi,2026-05-14,4
Kibua,2026-05-14,4
Masisi,2026-05-14,4
Mweso,2026-05-14,4
Kirotshe,2026-05-14,4
Pinga,2026-05-14,4
Walikale,2026-05-14,4
Kibirizi,2026-05-14,4
Kalunguta,2026-05-14,4
Alimbongo,2026-05-14,4
Nyiragongo,2026-05-14,4
Katoyi,2026-05-14,4
Bambo,2026-05-14,4
Itebero,2026-05-14,4
Mwana,2026-05-14,4
Kaziba,2026-05-14,4
Nyantende,2026-05-14,4
Nyangezi,2026-05-14,4
Kabare,2026-05-14,4
Mubumbano,2026-05-14,4
Walungu,2026-05-14,4
Hauts-Plateaux,2026-05-14,4
Kaniola,2026-05-14,4
Kalonge,2026-05-14,4
Bunyakiri,2026-05-14,4
Uvira,2026-05-14,4
Kitutu,2026-05-14,4
Kamituga,2026-05-14,4
Itombwe,2026-05-14,4
Minembwe,2026-05-14,4
Nundu,2026-05-14,4
Ruzizi,2026-05-14,4
Lemera,2026-05-14,4
Fizi,2026-05-14,4
Shabunda,2026-05-14,4
Lulingu,2026-05-14,4
Kalole,2026-05-14,4
Mwenga,2026-05-14,4
Mulungu,2026-05-14,4
Bagira,2026-05-14,4
Kadutu,2026-05-14,4
Ibanda,2026-05-14,4
Katana,2026-05-14,4
Lualaba,2026-05-14,4
Kafakumba,2026-05-14,4
Kanzenze,2026-05-14,4
Kasaji,2026-05-14,4
Dilolo,2026-05-14,4
Sandoa,2026-05-14,4
Kalamba,2026-05-14,4
Lubudi,2026-05-14,4
Bunkeya,2026-05-14,4
Fungurume,2026-05-14,4
Kambove,2026-05-14,4
Lubumbashi,2026-05-14,4
Kisanga,2026-05-14,4
Katuba,2026-05-14,4
Mumbunda,2026-05-14,4
Kipushi,2026-05-14,4
Sakania,2026-05-14,4
Kafubu,2026-05-14,4
Kilela Balanda,2026-05-14,4
Manika,2026-05-14,4
Vangu,2026-05-14,4
Kowe,2026-05-14,4
Mitwaba,2026-05-14,4
Gombe,2026-05-14,4
Minova,2026-05-14,4
Kalehe,2026-05-14,4
Miti-Murhesa,2026-05-14,4
Idjwi,2026-05-14,4
Aba,2026-05-14,4
Masina II,2026-05-14,4
Kapanga,2026-05-14,4
Dilala,2026-05-14,4
Mutshatsha,2026-05-14,4
Kikula,2026-05-14,4
Kimbi Lulenge,2026-05-14,4
Ferekeni,2026-05-14,4
Wapinda,2026-05-14,4
Likasi,2026-05-14,4
Kasenga,2026-05-14,4
Ntandembelo,2026-05-14,4
Yumbi,2026-05-14,4
Tshudi Loto,2026-05-14,4
Kiri,2026-05-14,4
Bosanga,2026-05-14,4
Yalifafo,2026-05-14,4
Dekese,2026-05-14,4
Mimia,2026-05-14,4
Makanza,2026-05-14,4
Bomongo,2026-05-14,4
Lolanga Mampoko,2026-05-14,4
Penjwa,2026-05-14,4
Bokungu,2026-05-14,4
Wema,2026-05-14,4
Befale,2026-05-14,4
Lotumbe,2026-05-14,4
Monkoto,2026-05-14,4
Djombo,2026-05-14,4
Bongandanga,2026-05-14,4
Lingomo,2026-05-14,4
Basankusu,2026-05-14,4
Boende,2026-05-14,4
Mompono,2026-05-14,4
Monieka,2026-05-14,4
Banjow Moke,2026-05-14,4
Inongo,2026-05-14,4
Wangata,2026-05-14,4
Bolenge,2026-05-14,4
Bolomba,2026-05-14,4
Ingende,2026-05-14,4
Iboko,2026-05-14,4
Irebu,2026-05-14,4
Mbandaka,2026-05-14,4
Lukolela,2026-05-14,4
Bikoro,2026-05-14,4
Ntondo,2026-05-14,4
Lilanga Bobangi,2026-05-14,4
Wembo Nyama,2026-05-17,4
Kole,2026-05-17,4
Pania Mutombo,2026-05-17,4
Minga,2026-05-17,4
Lusambo,2026-05-17,4
Dikungu,2026-05-17,4
Vanga Kete,2026-05-17,4
Lodja,2026-05-17,4
Omendjadi,2026-05-17,4
Djalo Djeka,2026-05-17,4
Katako Kombe,2026-05-17,4
Bena Dibele,2026-05-17,4
Kamiji,2026-05-17,4
Tshitenge,2026-05-17,4
Miabi,2026-05-17,4
Ngandajika,2026-05-17,4
Mulumba,2026-05-17,4
Tshilenge,2026-05-17,4
Cilundu,2026-05-17,4
Lubao,2026-05-17,4
Kalonda Est,2026-05-17,4
Kabinda,2026-05-17,4
Ludimbi Lukula,2026-05-17,4
Kalambayi Kabanga,2026-05-17,4
Makota,2026-05-17,4
Mwene Ditu,2026-05-17,4
Wikong,2026-05-17,4
Luputa,2026-05-17,4
Kanda Kanda,2026-05-17,4
Bonzola,2026-05-17,4
Dibindi,2026-05-17,4
Kansele,2026-05-17,4
Muya,2026-05-17,4
Diulu,2026-05-17,4
Bipemba,2026-05-17,4
Mpokolo,2026-05-17,4
Nzaba,2026-05-17,4
Kabeya Kamuanga,2026-05-17,4
Mukumbi,2026-05-17,4
Lukelenge,2026-05-17,4
Tshishimbi,2026-05-17,4
Lubilanji,2026-05-17,4
Kamana,2026-05-17,4
Kasansa,2026-05-17,4
Bibanga,2026-05-17,4
Kalenda,2026-05-17,4
Tshofa,2026-05-17,4
Pimu,2026-05-17,4
Nyanga,2026-05-17,4
Kalonda Ouest,2026-05-17,4
Kamonia,2026-05-17,4
Mutena,2026-05-17,4
Banga Lubaka,2026-05-17,4
Kamwesha,2026-05-17,4
Mweka,2026-05-17,4
Moba,2026-05-17,4
Bogosenubia,2026-05-17,4
Moanda,2026-05-17,4
Kitona,2026-05-17,4
Boma,2026-05-17,4
Boma Bungu,2026-05-17,4
Seke-Banza,2026-05-17,4
Inga,2026-05-17,4
Lukula,2026-05-17,4
Tshela,2026-05-17,4
Vaku,2026-05-17,4
Kizu,2026-05-17,4
Kibunzi,2026-05-17,4
Luozi,2026-05-17,4
Kimpangu,2026-05-17,4
Ngidinga,2026-05-17,4
Boko-Kivulu,2026-05-17,4
Mbanza-Ngungu,2026-05-17,4
Kwilu-Ngongo,2026-05-17,4
Kisantu,2026-05-17,4
Mikope,2026-05-17,4
Oshwe,2026-05-17,4
Bosobe,2026-05-17,4
Bokoro,2026-05-17,4
Masi-Manimba,2026-05-17,4
Yasa-Bonga,2026-05-17,4
Idiofa,2026-05-17,4
Ipamu,2026-05-17,4
Koshibanda,2026-05-17,4
Kingandu,2026-05-17,4
Bulungu,2026-05-17,4
Bagata,2026-05-17,4
Bandundu,2026-05-17,4
Kajiji,2026-05-17,4
Kikwit-Nord,2026-05-17,4
Lusanga,2026-05-17,4
Feshi,2026-05-17,4
Wamba Lwadi,2026-05-17,4
Panzi,2026-05-17,4
Tembo,2026-05-17,4
Moanza,2026-05-17,4
Kimbau,2026-05-17,4
Kenge,2026-05-17,4
Boko,2026-05-17,4
Viadana,2026-05-17,4
Poko,2026-05-17,4
Basali,2026-05-17,4
Basoko,2026-05-17,4
Bengamisa,2026-05-17,4
Yakusu,2026-05-17,4
Yahisuli,2026-05-17,4
Yabaondo,2026-05-17,4
Isangi,2026-05-17,4
Yaleko,2026-05-17,4
Banalia,2026-05-17,4
Bafwasende,2026-05-17,4
Bafwagbogbo,2026-05-17,4
Buta,2026-05-17,4
Titule,2026-05-17,4
Ganga,2026-05-17,4
Vanga,2026-05-17,4
Djuma,2026-05-17,4
Sia,2026-05-17,4
Mungindu,2026-05-17,4
Kimputu,2026-05-17,4
Mosango,2026-05-17,4
Pay Kongila,2026-05-17,4
Matadi,2026-05-17,4
Nzanza,2026-05-17,4
Ndjili,2026-05-17,4
Mont Ngafula I,2026-05-17,4
Biyela,2026-05-17,4
Kikimi,2026-05-17,4
Lemba,2026-05-17,4
Matete,2026-05-17,4
Kisenso,2026-05-17,4
Lingwala,2026-05-17,4
Barumbu,2026-05-17,4
Kinshasa,2026-05-17,4
Limete,2026-05-17,4
Kalamu II,2026-05-17,4
Kalamu I,2026-05-17,4
Bumbu,2026-05-17,4
Makala,2026-05-17,4
Ngaba,2026-05-17,4
Bandalungwa,2026-05-17,4
Selembao,2026-05-17,4
Masina I,2026-05-17,4
Kintambo,2026-05-17,4
Kasa-Vubu,2026-05-17,4
Ngiri-Ngiri,2026-05-17,4
Binza Meteo,2026-05-17,4
Binza Ozone,2026-05-17,4
Kikongo,2026-05-17,4
Mont Ngafula II,2026-05-17,4
Sona-Bata,2026-05-17,4
Nsele,2026-05-17,4
Kanzala,2026-05-17,4
Tshikapa,2026-05-17,4
Kingasani,2026-05-17,4
Kimbanseke,2026-05-17,4
Bwamanda,2026-05-17,4
Kungu,2026-05-17,4
Loko,2026-05-17,4
Bangabola,2026-05-17,4
Boso Mondanda,2026-05-17,4
Budjala,2026-05-17,4
Binga,2026-05-17,4
Yamaluka,2026-05-17,4
Boso Manzi,2026-05-17,4
Karawa,2026-05-17,4
Bominenge,2026-05-17,4
Gemena,2026-05-17,4
Mbaya,2026-05-17,4
Bulu,2026-05-17,4
Tandala,2026-05-17,4
Kibombo,2026-05-17,4
Kindu,2026-05-17,4
Alunguli,2026-05-17,4
Kokolo,2026-05-17,4
Police,2026-05-17,4
Makiso-Kisangani,2026-05-17,4
Mangobo,2026-05-17,4
Kabondo,2026-05-17,4
Tshopo,2026-05-17,4
Kaniama,2026-05-17,4
Kalemie,2026-05-17,4
Kansimba,2026-05-17,4
Butumba,2026-05-17,4
Kinkondja,2026-05-17,4
Baka,2026-05-17,4
Kiyambi,2026-05-17,4
Manono,2026-05-17,4
Samba,2026-05-17,4
Kasongo,2026-05-17,4
Kunda,2026-05-17,4
Saramabila,2026-05-17,4
Kampene,2026-05-17,4
Nyemba,2026-05-17,4
Nyunzu,2026-05-17,4
Kabambare,2026-05-17,4
Pangi,2026-05-17,4
Kalima,2026-05-17,4
Yalimbongo,2026-05-17,4
Aketi,2026-05-17,4
Lolo,2026-05-17,4
Yamongili,2026-05-17,4
Abuzi,2026-05-17,4
Yambuku,2026-05-17,4
Wasolo,2026-05-17,4
Bosondjo,2026-05-17,4
Bumba,2026-05-17,4
Mondombe,2026-05-17,4
Djolu,2026-05-17,4
Opienge,2026-05-17,4
Obokote,2026-05-17,4
Lowa,2026-05-17,4
Wanierukula,2026-05-17,4
Lubutu,2026-05-17,4
Kitenda,2026-05-17,4
Kasongo Lunda,2026-05-17,4
Popokabaka,2026-05-17,4
Kimvula,2026-05-17,4
Maluku I,2026-05-17,4
Kimpese,2026-05-17,4
Nsona-Mpangu,2026-05-17,4
Kangu,2026-05-17,4
Kuimba,2026-05-17,4
Kinkonzi,2026-05-17,4
Mangembo,2026-05-17,4
Gombe-Matadi,2026-05-17,4
Masa,2026-05-17,4
Bokonzi,2026-05-17,4
Mawuya,2026-05-17,4
Zongo,2026-05-17,4
Libenge,2026-05-17,4
Bili (Nord-Ubangi),2026-05-17,4
Gbadolite,2026-05-17,4
Mobayi Mbongo,2026-05-17,4
Yakoma,2026-05-17,4
Monga,2026-05-17,4
Bondo,2026-05-17,4
Bili (Bas-Uele),2026-05-17,4
Ango,2026-05-17,4
Opala,2026-05-17,4
Kahemba,2026-05-17,4
Gungu,2026-05-17,4
Kitangwa,2026-05-17,4
Mukedi,2026-05-17,4
Kongolo,2026-05-17,4
Mbulula,2026-05-17,4
Kabalo,2026-05-17,4
Bukama,2026-05-17,4
Kabondo Dianda,2026-05-17,4
Kabongo,2026-05-17,4
Songa,2026-05-17,4
Kayamba,2026-05-17,4
Kitenge,2026-05-17,4
Ankoro,2026-05-17,4
Mulongo,2026-05-17,4
Lwamba,2026-05-17,4
Mukanga,2026-05-17,4
Malemba,2026-05-17,4
Kinda,2026-05-17,4
Kamina,2026-05-17,4
Kikwit-Sud,2026-05-17,4
Kenya,2026-05-17,4
Kamalondo,2026-05-17,4
Tshamilemba,2026-05-17,4
Pweto,2026-05-17,4
Lukafu,2026-05-17,4
Mufunga Sampwe,2026-05-17,4
Kilwa,2026-05-17,4
Kapolowe,2026-05-17,4
Panda,2026-05-17,4
Kashobwe,2026-05-17,4
Kampemba,2026-05-17,4
Rwashi,2026-05-17,4
Bena Tshiadi,2026-05-17,4
Yangala,2026-05-17,4
Ilebo,2026-05-17,4
Luebo,2026-05-17,4
Bena Leka,2026-05-17,4
Muetshi,2026-05-17,4
Tshikula,2026-05-17,4
Dibaya,2026-05-17,4
Kalomba,2026-05-17,4
Tshibala,2026-05-17,4
Mushenge,2026-05-17,4
Bulape,2026-05-17,4
Masuika,2026-05-17,4
Luiza,2026-05-17,4
Katoka,2026-05-17,4
Ndesha,2026-05-17,4
Tshikaji,2026-05-17,4
Bilomba,2026-05-17,4
Ndekesha,2026-05-17,4
Bunkonde,2026-05-17,4
Mikalayi,2026-05-17,4
Luambo,2026-05-17,4
Katende,2026-05-17,4
Ndjoko-Mpunda,2026-05-17,4
Lubondaie,2026-05-17,4
Kakenge,2026-05-17,4
Rwampara,2026-05-17,4
Bunia,2026-05-17,4
Jiba,2026-05-17,4
Linga,2026-05-17,4
Mangala,2026-05-17,4
Damas,2026-05-17,4
Fataki,2026-05-17,4
Drodro,2026-05-17,4
Tchomia,2026-05-17,4
Rethy,2026-05-17,4
Nyakunde,2026-05-17,4
Nizi,2026-05-17,4
Bambu,2026-05-17,4
Kilo,2026-05-17,4
Mongbalu,2026-05-17,4
Komanda,2026-05-17,4
Gethy,2026-05-17,4
Boga,2026-05-17,4
Nia-Nia,2026-05-17,4
Mandima,2026-05-17,4
Lolwa,2026-05-17,4
Lita,2026-05-17,4
Boma-Mangbetu,2026-05-17,4
Isiro,2026-05-17,4
Wamba,2026-05-17,4
Doruma,2026-05-17,4
Pawa,2026-05-17,4
Niangara,2026-05-17,4
Rungu,2026-05-17,4
Mambasa,2026-05-17,4
Rimba,2026-05-17,4
Logo,2026-05-17,4
Angumu,2026-05-17,4
Nyarambe,2026-05-17,4
Mahagi,2026-05-17,4
Makoro,2026-05-17,4
Kambala,2026-05-17,4
Biringi,2026-05-17,4
Laybo,2026-05-17,4
Ariwara,2026-05-17,4
Adi,2026-05-17,4
Aru,2026-05-17,4
Adja,2026-05-17,4
Aungba,2026-05-17,4
Faradje,2026-05-17,4
Gombari,2026-05-17,4
Dungu,2026-05-17,4
Watsa,2026-05-17,4
Demba,2026-05-17,4
Mutoto,2026-05-17,4
Lubunga (Kasaï-Central),2026-05-17,4
Kananga,2026-05-17,4
Maluku II,2026-05-17,4
Nselo,2026-05-17,4
Lomela,2026-05-17,4
Nioki,2026-05-17,4
Bolobo,2026-05-17,4
Mushie,2026-05-17,4
Kwamouth,2026-05-17,4
Mokala,2026-05-17,4
Kisanji,2026-05-17,4
Lukonga,2026-05-17,4
Tunda,2026-05-17,4
Bosobolo,2026-05-17,4
Businga,2026-05-17,4
Boto,2026-05-17,4
Lisala,2026-05-17,4
Ndage,2026-05-17,4
Mwela Lembwa,2026-05-17,4
Kingabwa,2026-05-17,4
Likati,2026-05-17,4
Yahuma,2026-05-17,4
Ikela,2026-05-17,4
Lubunga (Tshopo),2026-05-17,4
Ubundu,2026-05-17,4
Kailo,2026-05-17,4
Ototo,2026-05-17,4
Tshumbe,2026-05-17,4
Lusangi,2026-05-17,4
Bobozo,2026-05-17,4
Punia,2026-05-17,4
Kyondo,2026-05-17,4
Mabalako,2026-05-17,4
Biena,2026-05-17,4
Masereka,2026-05-17,4
Lubero,2026-05-17,4
Manguredjipa,2026-05-17,4
Mutwanga,2026-05-17,4
Kamango,2026-05-17,4
Oicha,2026-05-17,4
Binza,2026-05-17,4
Rwanguba,2026-05-17,4
Rutshuru,2026-05-17,4
Birambizo,2026-05-17,4
Beni,2026-05-17,4
Vuhovi,2026-05-17,4
Musienene,2026-05-17,4
Butembo,2026-05-17,4
Katwa,2026-05-17,4
Kayna,2026-05-17,4
Goma,2026-05-17,4
Karisimbi,2026-05-17,4
Kibua,2026-05-17,4
Masisi,2026-05-17,4
