nom,date,national_cumulative_suspected_cases_daily
Boso Mondanda,5/14/26,246
Budjala,5/14/26,246
Binga,5/14/26,246
Yamaluka,5/14/26,246
Boso Manzi,5/14/26,246
Karawa,5/14/26,246
Bominenge,5/14/26,246
Gemena,5/14/26,246
Mbaya,5/14/26,246
Bulu,5/14/26,246
Tandala,5/14/26,246
Kibombo,5/14/26,246
Kindu,5/14/26,246
Alunguli,5/14/26,246
Kokolo,5/14/26,246
Police,5/14/26,246
Makiso-Kisangani,5/14/26,246
Mangobo,5/14/26,246
Kabondo,5/14/26,246
Tshopo,5/14/26,246
Kaniama,5/14/26,246
Kalemie,5/14/26,246
Kansimba,5/14/26,246
Butumba,5/14/26,246
Kinkondja,5/14/26,246
Baka,5/14/26,246
Kiyambi,5/14/26,246
Manono,5/14/26,246
Samba,5/14/26,246
Kasongo,5/14/26,246
Kunda,5/14/26,246
Saramabila,5/14/26,246
Kampene,5/14/26,246
Nyemba,5/14/26,246
Nyunzu,5/14/26,246
Kabambare,5/14/26,246
Pangi,5/14/26,246
Kalima,5/14/26,246
Yalimbongo,5/14/26,246
Aketi,5/14/26,246
Lolo,5/14/26,246
Yamongili,5/14/26,246
Abuzi,5/14/26,246
Yambuku,5/14/26,246
Wasolo,5/14/26,246
Bosondjo,5/14/26,246
Bumba,5/14/26,246
Mondombe,5/14/26,246
Djolu,5/14/26,246
Opienge,5/14/26,246
Obokote,5/14/26,246
Lowa,5/14/26,246
Wanierukula,5/14/26,246
Lubutu,5/14/26,246
Kitenda,5/14/26,246
Kasongo Lunda,5/14/26,246
Popokabaka,5/14/26,246
Kimvula,5/14/26,246
Maluku I,5/14/26,246
Kimpese,5/14/26,246
Nsona-Mpangu,5/14/26,246
Kangu,5/14/26,246
Kuimba,5/14/26,246
Kinkonzi,5/14/26,246
Mangembo,5/14/26,246
Gombe-Matadi,5/14/26,246
Masa,5/14/26,246
Bokonzi,5/14/26,246
Mawuya,5/14/26,246
Zongo,5/14/26,246
Libenge,5/14/26,246
Bili (Nord-Ubangi),5/14/26,246
Gbadolite,5/14/26,246
Mobayi Mbongo,5/14/26,246
Yakoma,5/14/26,246
Monga,5/14/26,246
Bondo,5/14/26,246
Bili (Bas-Uele),5/14/26,246
Ango,5/14/26,246
Opala,5/14/26,246
Kahemba,5/14/26,246
Gungu,5/14/26,246
Kitangwa,5/14/26,246
Mukedi,5/14/26,246
Kongolo,5/14/26,246
Mbulula,5/14/26,246
Kabalo,5/14/26,246
Bukama,5/14/26,246
Kabondo Dianda,5/14/26,246
Kabongo,5/14/26,246
Songa,5/14/26,246
Kayamba,5/14/26,246
Kitenge,5/14/26,246
Ankoro,5/14/26,246
Mulongo,5/14/26,246
Lwamba,5/14/26,246
Mukanga,5/14/26,246
Malemba,5/14/26,246
Kinda,5/14/26,246
Kamina,5/14/26,246
Kikwit-Sud,5/14/26,246
Kenya,5/14/26,246
Kamalondo,5/14/26,246
Tshamilemba,5/14/26,246
Pweto,5/14/26,246
Lukafu,5/14/26,246
Mufunga Sampwe,5/14/26,246
Kilwa,5/14/26,246
Kapolowe,5/14/26,246
Panda,5/14/26,246
Kashobwe,5/14/26,246
Kampemba,5/14/26,246
Rwashi,5/14/26,246
Bena Tshiadi,5/14/26,246
Yangala,5/14/26,246
Ilebo,5/14/26,246
Luebo,5/14/26,246
Bena Leka,5/14/26,246
Muetshi,5/14/26,246
Tshikula,5/14/26,246
Dibaya,5/14/26,246
Kalomba,5/14/26,246
Tshibala,5/14/26,246
Mushenge,5/14/26,246
Bulape,5/14/26,246
Masuika,5/14/26,246
Luiza,5/14/26,246
Katoka,5/14/26,246
Ndesha,5/14/26,246
Tshikaji,5/14/26,246
Bilomba,5/14/26,246
Ndekesha,5/14/26,246
Bunkonde,5/14/26,246
Mikalayi,5/14/26,246
Luambo,5/14/26,246
Katende,5/14/26,246
Ndjoko-Mpunda,5/14/26,246
Lubondaie,5/14/26,246
Kakenge,5/14/26,246
Rwampara,5/14/26,246
Bunia,5/14/26,246
Jiba,5/14/26,246
Linga,5/14/26,246
Mangala,5/14/26,246
Damas,5/14/26,246
Fataki,5/14/26,246
Drodro,5/14/26,246
Tchomia,5/14/26,246
Rethy,5/14/26,246
Nyakunde,5/14/26,246
Nizi,5/14/26,246
Bambu,5/14/26,246
Kilo,5/14/26,246
Mongbalu,5/14/26,246
Komanda,5/14/26,246
Gethy,5/14/26,246
Boga,5/14/26,246
Nia-Nia,5/14/26,246
Mandima,5/14/26,246
Lolwa,5/14/26,246
Lita,5/14/26,246
Boma-Mangbetu,5/14/26,246
Isiro,5/14/26,246
Wamba,5/14/26,246
Doruma,5/14/26,246
Pawa,5/14/26,246
Niangara,5/14/26,246
Rungu,5/14/26,246
Mambasa,5/14/26,246
Rimba,5/14/26,246
Logo,5/14/26,246
Angumu,5/14/26,246
Nyarambe,5/14/26,246
Mahagi,5/14/26,246
Makoro,5/14/26,246
Kambala,5/14/26,246
Biringi,5/14/26,246
Laybo,5/14/26,246
Ariwara,5/14/26,246
Adi,5/14/26,246
Aru,5/14/26,246
Adja,5/14/26,246
Aungba,5/14/26,246
Faradje,5/14/26,246
Gombari,5/14/26,246
Dungu,5/14/26,246
Watsa,5/14/26,246
Demba,5/14/26,246
Mutoto,5/14/26,246
Lubunga (Kasaï-Central),5/14/26,246
Kananga,5/14/26,246
Maluku II,5/14/26,246
Nselo,5/14/26,246
Lomela,5/14/26,246
Nioki,5/14/26,246
Bolobo,5/14/26,246
Mushie,5/14/26,246
Kwamouth,5/14/26,246
Mokala,5/14/26,246
Kisanji,5/14/26,246
Lukonga,5/14/26,246
Tunda,5/14/26,246
Bosobolo,5/14/26,246
Businga,5/14/26,246
Boto,5/14/26,246
Lisala,5/14/26,246
Ndage,5/14/26,246
Mwela Lembwa,5/14/26,246
Kingabwa,5/14/26,246
Likati,5/14/26,246
Yahuma,5/14/26,246
Ikela,5/14/26,246
Lubunga (Tshopo),5/14/26,246
Ubundu,5/14/26,246
Kailo,5/14/26,246
Ototo,5/14/26,246
Tshumbe,5/14/26,246
Lusangi,5/14/26,246
Bobozo,5/14/26,246
Punia,5/14/26,246
Kyondo,5/14/26,246
Mabalako,5/14/26,246
Biena,5/14/26,246
Masereka,5/14/26,246
Lubero,5/14/26,246
Manguredjipa,5/14/26,246
Mutwanga,5/14/26,246
Kamango,5/14/26,246
Oicha,5/14/26,246
Binza,5/14/26,246
Rwanguba,5/14/26,246
Rutshuru,5/14/26,246
Birambizo,5/14/26,246
Beni,5/14/26,246
Vuhovi,5/14/26,246
Musienene,5/14/26,246
Butembo,5/14/26,246
Katwa,5/14/26,246
Kayna,5/14/26,246
Goma,5/14/26,246
Karisimbi,5/14/26,246
Kibua,5/14/26,246
Masisi,5/14/26,246
Mweso,5/14/26,246
Kirotshe,5/14/26,246
Pinga,5/14/26,246
Walikale,5/14/26,246
Kibirizi,5/14/26,246
Kalunguta,5/14/26,246
Alimbongo,5/14/26,246
Nyiragongo,5/14/26,246
Katoyi,5/14/26,246
Bambo,5/14/26,246
Itebero,5/14/26,246
Mwana,5/14/26,246
Kaziba,5/14/26,246
Nyantende,5/14/26,246
Nyangezi,5/14/26,246
Kabare,5/14/26,246
Mubumbano,5/14/26,246
Walungu,5/14/26,246
Hauts-Plateaux,5/14/26,246
Kaniola,5/14/26,246
Kalonge,5/14/26,246
Bunyakiri,5/14/26,246
Uvira,5/14/26,246
Kitutu,5/14/26,246
Kamituga,5/14/26,246
Itombwe,5/14/26,246
Minembwe,5/14/26,246
Nundu,5/14/26,246
Ruzizi,5/14/26,246
Lemera,5/14/26,246
Fizi,5/14/26,246
Shabunda,5/14/26,246
Lulingu,5/14/26,246
Kalole,5/14/26,246
Mwenga,5/14/26,246
Mulungu,5/14/26,246
Bagira,5/14/26,246
Kadutu,5/14/26,246
Ibanda,5/14/26,246
Katana,5/14/26,246
Lualaba,5/14/26,246
Kafakumba,5/14/26,246
Kanzenze,5/14/26,246
Kasaji,5/14/26,246
Dilolo,5/14/26,246
Sandoa,5/14/26,246
Kalamba,5/14/26,246
Lubudi,5/14/26,246
Bunkeya,5/14/26,246
Fungurume,5/14/26,246
Kambove,5/14/26,246
Lubumbashi,5/14/26,246
Kisanga,5/14/26,246
Katuba,5/14/26,246
Mumbunda,5/14/26,246
Kipushi,5/14/26,246
Sakania,5/14/26,246
Kafubu,5/14/26,246
Kilela Balanda,5/14/26,246
Manika,5/14/26,246
Vangu,5/14/26,246
Kowe,5/14/26,246
Mitwaba,5/14/26,246
Gombe,5/14/26,246
Minova,5/14/26,246
Kalehe,5/14/26,246
Miti-Murhesa,5/14/26,246
Idjwi,5/14/26,246
Aba,5/14/26,246
Masina II,5/14/26,246
Kapanga,5/14/26,246
Dilala,5/14/26,246
Mutshatsha,5/14/26,246
Kikula,5/14/26,246
Kimbi Lulenge,5/14/26,246
Ferekeni,5/14/26,246
Wapinda,5/14/26,246
Likasi,5/14/26,246
Kasenga,5/14/26,246
Ntandembelo,5/14/26,246
Yumbi,5/14/26,246
Tshudi Loto,5/14/26,246
Kiri,5/14/26,246
Bosanga,5/14/26,246
Yalifafo,5/14/26,246
Dekese,5/14/26,246
Mimia,5/14/26,246
Makanza,5/14/26,246
Bomongo,5/14/26,246
Lolanga Mampoko,5/14/26,246
Penjwa,5/14/26,246
Bokungu,5/14/26,246
Wema,5/14/26,246
Befale,5/14/26,246
Lotumbe,5/14/26,246
Monkoto,5/14/26,246
Djombo,5/14/26,246
Bongandanga,5/14/26,246
Lingomo,5/14/26,246
Basankusu,5/14/26,246
Boende,5/14/26,246
Mompono,5/14/26,246
Monieka,5/14/26,246
Banjow Moke,5/14/26,246
Inongo,5/14/26,246
Wangata,5/14/26,246
Bolenge,5/14/26,246
Bolomba,5/14/26,246
Ingende,5/14/26,246
Iboko,5/14/26,246
Irebu,5/14/26,246
Mbandaka,5/14/26,246
Lukolela,5/14/26,246
Bikoro,5/14/26,246
Ntondo,5/14/26,246
Lilanga Bobangi,5/14/26,246
Wembo Nyama,5/17/26,246
Kole,5/17/26,246
Pania Mutombo,5/17/26,246
Minga,5/17/26,246
Lusambo,5/17/26,246
Dikungu,5/17/26,246
Vanga Kete,5/17/26,246
Lodja,5/17/26,246
Omendjadi,5/17/26,246
Djalo Djeka,5/17/26,246
Katako Kombe,5/17/26,246
Bena Dibele,5/17/26,246
Kamiji,5/17/26,246
Tshitenge,5/17/26,246
Miabi,5/17/26,246
Ngandajika,5/17/26,246
Mulumba,5/17/26,246
Tshilenge,5/17/26,246
Cilundu,5/17/26,246
Lubao,5/17/26,246
Kalonda Est,5/17/26,246
Kabinda,5/17/26,246
Ludimbi Lukula,5/17/26,246
Kalambayi Kabanga,5/17/26,246
Makota,5/17/26,246
Mwene Ditu,5/17/26,246
Wikong,5/17/26,246
Luputa,5/17/26,246
Kanda Kanda,5/17/26,246
Bonzola,5/17/26,246
Dibindi,5/17/26,246
Kansele,5/17/26,246
Muya,5/17/26,246
Diulu,5/17/26,246
Bipemba,5/17/26,246
Mpokolo,5/17/26,246
Nzaba,5/17/26,246
Kabeya Kamuanga,5/17/26,246
Mukumbi,5/17/26,246
Lukelenge,5/17/26,246
Tshishimbi,5/17/26,246
Lubilanji,5/17/26,246
Kamana,5/17/26,246
Kasansa,5/17/26,246
Bibanga,5/17/26,246
Kalenda,5/17/26,246
Tshofa,5/17/26,246
Pimu,5/17/26,246
Nyanga,5/17/26,246
Kalonda Ouest,5/17/26,246
Kamonia,5/17/26,246
Mutena,5/17/26,246
Banga Lubaka,5/17/26,246
Kamwesha,5/17/26,246
Mweka,5/17/26,246
Moba,5/17/26,246
Bogosenubia,5/17/26,246
Moanda,5/17/26,246
Kitona,5/17/26,246
Boma,5/17/26,246
Boma Bungu,5/17/26,246
Seke-Banza,5/17/26,246
Inga,5/17/26,246
Lukula,5/17/26,246
Tshela,5/17/26,246
Vaku,5/17/26,246
Kizu,5/17/26,246
Kibunzi,5/17/26,246
Luozi,5/17/26,246
Kimpangu,5/17/26,246
Ngidinga,5/17/26,246
Boko-Kivulu,5/17/26,246
Mbanza-Ngungu,5/17/26,246
Kwilu-Ngongo,5/17/26,246
Kisantu,5/17/26,246
Mikope,5/17/26,246
Oshwe,5/17/26,246
Bosobe,5/17/26,246
Bokoro,5/17/26,246
Masi-Manimba,5/17/26,246
Yasa-Bonga,5/17/26,246
Idiofa,5/17/26,246
Ipamu,5/17/26,246
Koshibanda,5/17/26,246
Kingandu,5/17/26,246
Bulungu,5/17/26,246
Bagata,5/17/26,246
Bandundu,5/17/26,246
Kajiji,5/17/26,246
Kikwit-Nord,5/17/26,246
Lusanga,5/17/26,246
Feshi,5/17/26,246
Wamba Lwadi,5/17/26,246
Panzi,5/17/26,246
Tembo,5/17/26,246
Moanza,5/17/26,246
Kimbau,5/17/26,246
Kenge,5/17/26,246
Boko,5/17/26,246
Viadana,5/17/26,246
Poko,5/17/26,246
Basali,5/17/26,246
Basoko,5/17/26,246
Bengamisa,5/17/26,246
Yakusu,5/17/26,246
Yahisuli,5/17/26,246
Yabaondo,5/17/26,246
Isangi,5/17/26,246
Yaleko,5/17/26,246
Banalia,5/17/26,246
Bafwasende,5/17/26,246
Bafwagbogbo,5/17/26,246
Buta,5/17/26,246
Titule,5/17/26,246
Ganga,5/17/26,246
Vanga,5/17/26,246
Djuma,5/17/26,246
Sia,5/17/26,246
Mungindu,5/17/26,246
Kimputu,5/17/26,246
Mosango,5/17/26,246
Pay Kongila,5/17/26,246
Matadi,5/17/26,246
Nzanza,5/17/26,246
Ndjili,5/17/26,246
Mont Ngafula I,5/17/26,246
Biyela,5/17/26,246
Kikimi,5/17/26,246
Lemba,5/17/26,246
Matete,5/17/26,246
Kisenso,5/17/26,246
Lingwala,5/17/26,246
Barumbu,5/17/26,246
Kinshasa,5/17/26,246
Limete,5/17/26,246
Kalamu II,5/17/26,246
Kalamu I,5/17/26,246
Bumbu,5/17/26,246
Makala,5/17/26,246
Ngaba,5/17/26,246
Bandalungwa,5/17/26,246
Selembao,5/17/26,246
Masina I,5/17/26,246
Kintambo,5/17/26,246
Kasa-Vubu,5/17/26,246
Ngiri-Ngiri,5/17/26,246
Binza Meteo,5/17/26,246
Binza Ozone,5/17/26,246
Kikongo,5/17/26,246
Mont Ngafula II,5/17/26,246
Sona-Bata,5/17/26,246
Nsele,5/17/26,246
Kanzala,5/17/26,246
Tshikapa,5/17/26,246
Kingasani,5/17/26,246
Kimbanseke,5/17/26,246
Bwamanda,5/17/26,246
Kungu,5/17/26,246
Loko,5/17/26,246
Bangabola,5/17/26,246
Boso Mondanda,5/17/26,246
Budjala,5/17/26,246
Binga,5/17/26,246
Yamaluka,5/17/26,246
Boso Manzi,5/17/26,246
Karawa,5/17/26,246
Bominenge,5/17/26,246
Gemena,5/17/26,246
Mbaya,5/17/26,246
Bulu,5/17/26,246
Tandala,5/17/26,246
Kibombo,5/17/26,246
Kindu,5/17/26,246
Alunguli,5/17/26,246
Kokolo,5/17/26,246
Police,5/17/26,246
Makiso-Kisangani,5/17/26,246
Mangobo,5/17/26,246
Kabondo,5/17/26,246
Tshopo,5/17/26,246
Kaniama,5/17/26,246
Kalemie,5/17/26,246
Kansimba,5/17/26,246
Butumba,5/17/26,246
Kinkondja,5/17/26,246
Baka,5/17/26,246
Kiyambi,5/17/26,246
Manono,5/17/26,246
Samba,5/17/26,246
Kasongo,5/17/26,246
Kunda,5/17/26,246
Saramabila,5/17/26,246
Kampene,5/17/26,246
Nyemba,5/17/26,246
Nyunzu,5/17/26,246
Kabambare,5/17/26,246
Pangi,5/17/26,246
Kalima,5/17/26,246
Yalimbongo,5/17/26,246
Aketi,5/17/26,246
Lolo,5/17/26,246
Yamongili,5/17/26,246
Abuzi,5/17/26,246
Yambuku,5/17/26,246
Wasolo,5/17/26,246
Bosondjo,5/17/26,246
Bumba,5/17/26,246
Mondombe,5/17/26,246
Djolu,5/17/26,246
Opienge,5/17/26,246
Obokote,5/17/26,246
Lowa,5/17/26,246
Wanierukula,5/17/26,246
Lubutu,5/17/26,246
Kitenda,5/17/26,246
Kasongo Lunda,5/17/26,246
Popokabaka,5/17/26,246
Kimvula,5/17/26,246
Maluku I,5/17/26,246
Kimpese,5/17/26,246
Nsona-Mpangu,5/17/26,246
Kangu,5/17/26,246
Kuimba,5/17/26,246
Kinkonzi,5/17/26,246
Mangembo,5/17/26,246
Gombe-Matadi,5/17/26,246
Masa,5/17/26,246
Bokonzi,5/17/26,246
Mawuya,5/17/26,246
Zongo,5/17/26,246
Libenge,5/17/26,246
Bili (Nord-Ubangi),5/17/26,246
Gbadolite,5/17/26,246
Mobayi Mbongo,5/17/26,246
Yakoma,5/17/26,246
Monga,5/17/26,246
Bondo,5/17/26,246
Bili (Bas-Uele),5/17/26,246
Ango,5/17/26,246
Opala,5/17/26,246
Kahemba,5/17/26,246
Gungu,5/17/26,246
Kitangwa,5/17/26,246
Mukedi,5/17/26,246
Kongolo,5/17/26,246
Mbulula,5/17/26,246
Kabalo,5/17/26,246
Bukama,5/17/26,246
Kabondo Dianda,5/17/26,246
Kabongo,5/17/26,246
Songa,5/17/26,246
Kayamba,5/17/26,246
Kitenge,5/17/26,246
Ankoro,5/17/26,246
Mulongo,5/17/26,246
Lwamba,5/17/26,246
Mukanga,5/17/26,246
Malemba,5/17/26,246
Kinda,5/17/26,246
Kamina,5/17/26,246
Kikwit-Sud,5/17/26,246
Kenya,5/17/26,246
Kamalondo,5/17/26,246
Tshamilemba,5/17/26,246
Pweto,5/17/26,246
Lukafu,5/17/26,246
Mufunga Sampwe,5/17/26,246
Kilwa,5/17/26,246
Kapolowe,5/17/26,246
Panda,5/17/26,246
Kashobwe,5/17/26,246
Kampemba,5/17/26,246
Rwashi,5/17/26,246
Bena Tshiadi,5/17/26,246
Yangala,5/17/26,246
Ilebo,5/17/26,246
Luebo,5/17/26,246
Bena Leka,5/17/26,246
Muetshi,5/17/26,246
Tshikula,5/17/26,246
Dibaya,5/17/26,246
Kalomba,5/17/26,246
Tshibala,5/17/26,246
Mushenge,5/17/26,246
Bulape,5/17/26,246
Masuika,5/17/26,246
Luiza,5/17/26,246
Katoka,5/17/26,246
Ndesha,5/17/26,246
Tshikaji,5/17/26,246
Bilomba,5/17/26,246
Ndekesha,5/17/26,246
Bunkonde,5/17/26,246
Mikalayi,5/17/26,246
Luambo,5/17/26,246
Katende,5/17/26,246
Ndjoko-Mpunda,5/17/26,246
Lubondaie,5/17/26,246
Kakenge,5/17/26,246
Rwampara,5/17/26,246
Bunia,5/17/26,246
Jiba,5/17/26,246
Linga,5/17/26,246
Mangala,5/17/26,246
Damas,5/17/26,246
Fataki,5/17/26,246
Drodro,5/17/26,246
Tchomia,5/17/26,246
Rethy,5/17/26,246
Nyakunde,5/17/26,246
Nizi,5/17/26,246
Bambu,5/17/26,246
Kilo,5/17/26,246
Mongbalu,5/17/26,246
Komanda,5/17/26,246
Gethy,5/17/26,246
Boga,5/17/26,246
Nia-Nia,5/17/26,246
Mandima,5/17/26,246
Lolwa,5/17/26,246
Lita,5/17/26,246
Boma-Mangbetu,5/17/26,246
Isiro,5/17/26,246
Wamba,5/17/26,246
Doruma,5/17/26,246
Pawa,5/17/26,246
Niangara,5/17/26,246
Rungu,5/17/26,246
Mambasa,5/17/26,246
Rimba,5/17/26,246
Logo,5/17/26,246
Angumu,5/17/26,246
Nyarambe,5/17/26,246
Mahagi,5/17/26,246
Makoro,5/17/26,246
Kambala,5/17/26,246
Biringi,5/17/26,246
Laybo,5/17/26,246
Ariwara,5/17/26,246
Adi,5/17/26,246
Aru,5/17/26,246
Adja,5/17/26,246
Aungba,5/17/26,246
Faradje,5/17/26,246
Gombari,5/17/26,246
Dungu,5/17/26,246
Watsa,5/17/26,246
Demba,5/17/26,246
Mutoto,5/17/26,246
Lubunga (Kasaï-Central),5/17/26,246
Kananga,5/17/26,246
Maluku II,5/17/26,246
Nselo,5/17/26,246
Lomela,5/17/26,246
Nioki,5/17/26,246
Bolobo,5/17/26,246
Mushie,5/17/26,246
Kwamouth,5/17/26,246
Mokala,5/17/26,246
Kisanji,5/17/26,246
Lukonga,5/17/26,246
Tunda,5/17/26,246
Bosobolo,5/17/26,246
Businga,5/17/26,246
Boto,5/17/26,246
Lisala,5/17/26,246
Ndage,5/17/26,246
Mwela Lembwa,5/17/26,246
Kingabwa,5/17/26,246
Likati,5/17/26,246
Yahuma,5/17/26,246
Ikela,5/17/26,246
Lubunga (Tshopo),5/17/26,246
Ubundu,5/17/26,246
Kailo,5/17/26,246
Ototo,5/17/26,246
Tshumbe,5/17/26,246
Lusangi,5/17/26,246
Bobozo,5/17/26,246
Punia,5/17/26,246
Kyondo,5/17/26,246
Mabalako,5/17/26,246
Biena,5/17/26,246
Masereka,5/17/26,246
Lubero,5/17/26,246
Manguredjipa,5/17/26,246
Mutwanga,5/17/26,246
Kamango,5/17/26,246
Oicha,5/17/26,246
Binza,5/17/26,246
Rwanguba,5/17/26,246
Rutshuru,5/17/26,246
Birambizo,5/17/26,246
Beni,5/17/26,246
Vuhovi,5/17/26,246
Musienene,5/17/26,246
Butembo,5/17/26,246
Katwa,5/17/26,246
Kayna,5/17/26,246
Goma,5/17/26,246
Karisimbi,5/17/26,246
Kibua,5/17/26,246
Masisi,5/17/26,246
Mweso,5/17/26,246
Kirotshe,5/17/26,246
Pinga,5/17/26,246
Walikale,5/17/26,246
Kibirizi,5/17/26,246
Kalunguta,5/17/26,246
Alimbongo,5/17/26,246
Nyiragongo,5/17/26,246
Katoyi,5/17/26,246
Bambo,5/17/26,246
Itebero,5/17/26,246
Mwana,5/17/26,246
Kaziba,5/17/26,246
Nyantende,5/17/26,246
Nyangezi,5/17/26,246
Kabare,5/17/26,246
Mubumbano,5/17/26,246
Walungu,5/17/26,246
Hauts-Plateaux,5/17/26,246
Kaniola,5/17/26,246
Kalonge,5/17/26,246
Bunyakiri,5/17/26,246
Uvira,5/17/26,246
Kitutu,5/17/26,246
Kamituga,5/17/26,246
Itombwe,5/17/26,246
Minembwe,5/17/26,246
Nundu,5/17/26,246
Ruzizi,5/17/26,246
Lemera,5/17/26,246
Fizi,5/17/26,246
Shabunda,5/17/26,246
Lulingu,5/17/26,246
Kalole,5/17/26,246
Mwenga,5/17/26,246
Mulungu,5/17/26,246
Bagira,5/17/26,246
Kadutu,5/17/26,246
Ibanda,5/17/26,246
Katana,5/17/26,246
Lualaba,5/17/26,246
Kafakumba,5/17/26,246
Kanzenze,5/17/26,246
Kasaji,5/17/26,246
Dilolo,5/17/26,246
Sandoa,5/17/26,246
Kalamba,5/17/26,246
Lubudi,5/17/26,246
Bunkeya,5/17/26,246
Fungurume,5/17/26,246
Kambove,5/17/26,246
Lubumbashi,5/17/26,246
Kisanga,5/17/26,246
Katuba,5/17/26,246
Mumbunda,5/17/26,246
Kipushi,5/17/26,246
Sakania,5/17/26,246
Kafubu,5/17/26,246
Kilela Balanda,5/17/26,246
Manika,5/17/26,246
Vangu,5/17/26,246
Kowe,5/17/26,246
Mitwaba,5/17/26,246
Gombe,5/17/26,246
Minova,5/17/26,246
Kalehe,5/17/26,246
