nom,date,national_cumulative_confirmed_cases
Binga,2026-05-14,8
Yamaluka,2026-05-14,8
Boso Manzi,2026-05-14,8
Karawa,2026-05-14,8
Bominenge,2026-05-14,8
Gemena,2026-05-14,8
Mbaya,2026-05-14,8
Bulu,2026-05-14,8
Tandala,2026-05-14,8
Kibombo,2026-05-14,8
Kindu,2026-05-14,8
Alunguli,2026-05-14,8
Kokolo,2026-05-14,8
Police,2026-05-14,8
Makiso-Kisangani,2026-05-14,8
Mangobo,2026-05-14,8
Kabondo,2026-05-14,8
Tshopo,2026-05-14,8
Kaniama,2026-05-14,8
Kalemie,2026-05-14,8
Kansimba,2026-05-14,8
Butumba,2026-05-14,8
Kinkondja,2026-05-14,8
Baka,2026-05-14,8
Kiyambi,2026-05-14,8
Manono,2026-05-14,8
Samba,2026-05-14,8
Kasongo,2026-05-14,8
Kunda,2026-05-14,8
Saramabila,2026-05-14,8
Kampene,2026-05-14,8
Nyemba,2026-05-14,8
Nyunzu,2026-05-14,8
Kabambare,2026-05-14,8
Pangi,2026-05-14,8
Kalima,2026-05-14,8
Yalimbongo,2026-05-14,8
Aketi,2026-05-14,8
Lolo,2026-05-14,8
Yamongili,2026-05-14,8
Abuzi,2026-05-14,8
Yambuku,2026-05-14,8
Wasolo,2026-05-14,8
Bosondjo,2026-05-14,8
Bumba,2026-05-14,8
Mondombe,2026-05-14,8
Djolu,2026-05-14,8
Opienge,2026-05-14,8
Obokote,2026-05-14,8
Lowa,2026-05-14,8
Wanierukula,2026-05-14,8
Lubutu,2026-05-14,8
Kitenda,2026-05-14,8
Kasongo Lunda,2026-05-14,8
Popokabaka,2026-05-14,8
Kimvula,2026-05-14,8
Maluku I,2026-05-14,8
Kimpese,2026-05-14,8
Nsona-Mpangu,2026-05-14,8
Kangu,2026-05-14,8
Kuimba,2026-05-14,8
Kinkonzi,2026-05-14,8
Mangembo,2026-05-14,8
Gombe-Matadi,2026-05-14,8
Masa,2026-05-14,8
Bokonzi,2026-05-14,8
Mawuya,2026-05-14,8
Zongo,2026-05-14,8
Libenge,2026-05-14,8
Bili (Nord-Ubangi),2026-05-14,8
Gbadolite,2026-05-14,8
Mobayi Mbongo,2026-05-14,8
Yakoma,2026-05-14,8
Monga,2026-05-14,8
Bondo,2026-05-14,8
Bili (Bas-Uele),2026-05-14,8
Ango,2026-05-14,8
Opala,2026-05-14,8
Kahemba,2026-05-14,8
Gungu,2026-05-14,8
Kitangwa,2026-05-14,8
Mukedi,2026-05-14,8
Kongolo,2026-05-14,8
Mbulula,2026-05-14,8
Kabalo,2026-05-14,8
Bukama,2026-05-14,8
Kabondo Dianda,2026-05-14,8
Kabongo,2026-05-14,8
Songa,2026-05-14,8
Kayamba,2026-05-14,8
Kitenge,2026-05-14,8
Ankoro,2026-05-14,8
Mulongo,2026-05-14,8
Lwamba,2026-05-14,8
Mukanga,2026-05-14,8
Malemba,2026-05-14,8
Kinda,2026-05-14,8
Kamina,2026-05-14,8
Kikwit-Sud,2026-05-14,8
Kenya,2026-05-14,8
Kamalondo,2026-05-14,8
Tshamilemba,2026-05-14,8
Pweto,2026-05-14,8
Lukafu,2026-05-14,8
Mufunga Sampwe,2026-05-14,8
Kilwa,2026-05-14,8
Kapolowe,2026-05-14,8
Panda,2026-05-14,8
Kashobwe,2026-05-14,8
Kampemba,2026-05-14,8
Rwashi,2026-05-14,8
Bena Tshiadi,2026-05-14,8
Yangala,2026-05-14,8
Ilebo,2026-05-14,8
Luebo,2026-05-14,8
Bena Leka,2026-05-14,8
Muetshi,2026-05-14,8
Tshikula,2026-05-14,8
Dibaya,2026-05-14,8
Kalomba,2026-05-14,8
Tshibala,2026-05-14,8
Mushenge,2026-05-14,8
Bulape,2026-05-14,8
Masuika,2026-05-14,8
Luiza,2026-05-14,8
Katoka,2026-05-14,8
Ndesha,2026-05-14,8
Tshikaji,2026-05-14,8
Bilomba,2026-05-14,8
Ndekesha,2026-05-14,8
Bunkonde,2026-05-14,8
Mikalayi,2026-05-14,8
Luambo,2026-05-14,8
Katende,2026-05-14,8
Ndjoko-Mpunda,2026-05-14,8
Lubondaie,2026-05-14,8
Kakenge,2026-05-14,8
Rwampara,2026-05-14,8
Bunia,2026-05-14,8
Jiba,2026-05-14,8
Linga,2026-05-14,8
Mangala,2026-05-14,8
Damas,2026-05-14,8
Fataki,2026-05-14,8
Drodro,2026-05-14,8
Tchomia,2026-05-14,8
Rethy,2026-05-14,8
Nyakunde,2026-05-14,8
Nizi,2026-05-14,8
Bambu,2026-05-14,8
Kilo,2026-05-14,8
Mongbalu,2026-05-14,8
Komanda,2026-05-14,8
Gethy,2026-05-14,8
Boga,2026-05-14,8
Nia-Nia,2026-05-14,8
Mandima,2026-05-14,8
Lolwa,2026-05-14,8
Lita,2026-05-14,8
Boma-Mangbetu,2026-05-14,8
Isiro,2026-05-14,8
Wamba,2026-05-14,8
Doruma,2026-05-14,8
Pawa,2026-05-14,8
Niangara,2026-05-14,8
Rungu,2026-05-14,8
Mambasa,2026-05-14,8
Rimba,2026-05-14,8
Logo,2026-05-14,8
Angumu,2026-05-14,8
Nyarambe,2026-05-14,8
Mahagi,2026-05-14,8
Makoro,2026-05-14,8
Kambala,2026-05-14,8
Biringi,2026-05-14,8
Laybo,2026-05-14,8
Ariwara,2026-05-14,8
Adi,2026-05-14,8
Aru,2026-05-14,8
Adja,2026-05-14,8
Aungba,2026-05-14,8
Faradje,2026-05-14,8
Gombari,2026-05-14,8
Dungu,2026-05-14,8
Watsa,2026-05-14,8
Demba,2026-05-14,8
Mutoto,2026-05-14,8
Lubunga (Kasaï-Central),2026-05-14,8
Kananga,2026-05-14,8
Maluku II,2026-05-14,8
Nselo,2026-05-14,8
Lomela,2026-05-14,8
Nioki,2026-05-14,8
Bolobo,2026-05-14,8
Mushie,2026-05-14,8
Kwamouth,2026-05-14,8
Mokala,2026-05-14,8
Kisanji,2026-05-14,8
Lukonga,2026-05-14,8
Tunda,2026-05-14,8
Bosobolo,2026-05-14,8
Businga,2026-05-14,8
Boto,2026-05-14,8
Lisala,2026-05-14,8
Ndage,2026-05-14,8
Mwela Lembwa,2026-05-14,8
Kingabwa,2026-05-14,8
Likati,2026-05-14,8
Yahuma,2026-05-14,8
Ikela,2026-05-14,8
Lubunga (Tshopo),2026-05-14,8
Ubundu,2026-05-14,8
Kailo,2026-05-14,8
Ototo,2026-05-14,8
Tshumbe,2026-05-14,8
Lusangi,2026-05-14,8
Bobozo,2026-05-14,8
Punia,2026-05-14,8
Kyondo,2026-05-14,8
Mabalako,2026-05-14,8
Biena,2026-05-14,8
Masereka,2026-05-14,8
Lubero,2026-05-14,8
Manguredjipa,2026-05-14,8
Mutwanga,2026-05-14,8
Kamango,2026-05-14,8
Oicha,2026-05-14,8
Binza,2026-05-14,8
Rwanguba,2026-05-14,8
Rutshuru,2026-05-14,8
Birambizo,2026-05-14,8
Beni,2026-05-14,8
Vuhovi,2026-05-14,8
Musienene,2026-05-14,8
Butembo,2026-05-14,8
Katwa,2026-05-14,8
Kayna,2026-05-14,8
Goma,2026-05-14,8
Karisimbi,2026-05-14,8
Kibua,2026-05-14,8
Masisi,2026-05-14,8
Mweso,2026-05-14,8
Kirotshe,2026-05-14,8
Pinga,2026-05-14,8
Walikale,2026-05-14,8
Kibirizi,2026-05-14,8
Kalunguta,2026-05-14,8
Alimbongo,2026-05-14,8
Nyiragongo,2026-05-14,8
Katoyi,2026-05-14,8
Bambo,2026-05-14,8
Itebero,2026-05-14,8
Mwana,2026-05-14,8
Kaziba,2026-05-14,8
Nyantende,2026-05-14,8
Nyangezi,2026-05-14,8
Kabare,2026-05-14,8
Mubumbano,2026-05-14,8
Walungu,2026-05-14,8
Hauts-Plateaux,2026-05-14,8
Kaniola,2026-05-14,8
Kalonge,2026-05-14,8
Bunyakiri,2026-05-14,8
Uvira,2026-05-14,8
Kitutu,2026-05-14,8
Kamituga,2026-05-14,8
Itombwe,2026-05-14,8
Minembwe,2026-05-14,8
Nundu,2026-05-14,8
Ruzizi,2026-05-14,8
Lemera,2026-05-14,8
Fizi,2026-05-14,8
Shabunda,2026-05-14,8
Lulingu,2026-05-14,8
Kalole,2026-05-14,8
Mwenga,2026-05-14,8
Mulungu,2026-05-14,8
Bagira,2026-05-14,8
Kadutu,2026-05-14,8
Ibanda,2026-05-14,8
Katana,2026-05-14,8
Lualaba,2026-05-14,8
Kafakumba,2026-05-14,8
Kanzenze,2026-05-14,8
Kasaji,2026-05-14,8
Dilolo,2026-05-14,8
Sandoa,2026-05-14,8
Kalamba,2026-05-14,8
Lubudi,2026-05-14,8
Bunkeya,2026-05-14,8
Fungurume,2026-05-14,8
Kambove,2026-05-14,8
Lubumbashi,2026-05-14,8
Kisanga,2026-05-14,8
Katuba,2026-05-14,8
Mumbunda,2026-05-14,8
Kipushi,2026-05-14,8
Sakania,2026-05-14,8
Kafubu,2026-05-14,8
Kilela Balanda,2026-05-14,8
Manika,2026-05-14,8
Vangu,2026-05-14,8
Kowe,2026-05-14,8
Mitwaba,2026-05-14,8
Gombe,2026-05-14,8
Minova,2026-05-14,8
Kalehe,2026-05-14,8
Miti-Murhesa,2026-05-14,8
Idjwi,2026-05-14,8
Aba,2026-05-14,8
Masina II,2026-05-14,8
Kapanga,2026-05-14,8
Dilala,2026-05-14,8
Mutshatsha,2026-05-14,8
Kikula,2026-05-14,8
Kimbi Lulenge,2026-05-14,8
Ferekeni,2026-05-14,8
Wapinda,2026-05-14,8
Likasi,2026-05-14,8
Kasenga,2026-05-14,8
Ntandembelo,2026-05-14,8
Yumbi,2026-05-14,8
Tshudi Loto,2026-05-14,8
Kiri,2026-05-14,8
Bosanga,2026-05-14,8
Yalifafo,2026-05-14,8
Dekese,2026-05-14,8
Mimia,2026-05-14,8
Makanza,2026-05-14,8
Bomongo,2026-05-14,8
Lolanga Mampoko,2026-05-14,8
Penjwa,2026-05-14,8
Bokungu,2026-05-14,8
Wema,2026-05-14,8
Befale,2026-05-14,8
Lotumbe,2026-05-14,8
Monkoto,2026-05-14,8
Djombo,2026-05-14,8
Bongandanga,2026-05-14,8
Lingomo,2026-05-14,8
Basankusu,2026-05-14,8
Boende,2026-05-14,8
Mompono,2026-05-14,8
Monieka,2026-05-14,8
Banjow Moke,2026-05-14,8
Inongo,2026-05-14,8
Wangata,2026-05-14,8
Bolenge,2026-05-14,8
Bolomba,2026-05-14,8
Ingende,2026-05-14,8
Iboko,2026-05-14,8
Irebu,2026-05-14,8
Mbandaka,2026-05-14,8
Lukolela,2026-05-14,8
Bikoro,2026-05-14,8
Ntondo,2026-05-14,8
Lilanga Bobangi,2026-05-14,8
Wembo Nyama,2026-05-17,13
Kole,2026-05-17,13
Pania Mutombo,2026-05-17,13
Minga,2026-05-17,13
Lusambo,2026-05-17,13
Dikungu,2026-05-17,13
Vanga Kete,2026-05-17,13
Lodja,2026-05-17,13
Omendjadi,2026-05-17,13
Djalo Djeka,2026-05-17,13
Katako Kombe,2026-05-17,13
Bena Dibele,2026-05-17,13
Kamiji,2026-05-17,13
Tshitenge,2026-05-17,13
Miabi,2026-05-17,13
Ngandajika,2026-05-17,13
Mulumba,2026-05-17,13
Tshilenge,2026-05-17,13
Cilundu,2026-05-17,13
Lubao,2026-05-17,13
Kalonda Est,2026-05-17,13
Kabinda,2026-05-17,13
Ludimbi Lukula,2026-05-17,13
Kalambayi Kabanga,2026-05-17,13
Makota,2026-05-17,13
Mwene Ditu,2026-05-17,13
Wikong,2026-05-17,13
Luputa,2026-05-17,13
Kanda Kanda,2026-05-17,13
Bonzola,2026-05-17,13
Dibindi,2026-05-17,13
Kansele,2026-05-17,13
Muya,2026-05-17,13
Diulu,2026-05-17,13
Bipemba,2026-05-17,13
Mpokolo,2026-05-17,13
Nzaba,2026-05-17,13
Kabeya Kamuanga,2026-05-17,13
Mukumbi,2026-05-17,13
Lukelenge,2026-05-17,13
Tshishimbi,2026-05-17,13
Lubilanji,2026-05-17,13
Kamana,2026-05-17,13
Kasansa,2026-05-17,13
Bibanga,2026-05-17,13
Kalenda,2026-05-17,13
Tshofa,2026-05-17,13
Pimu,2026-05-17,13
Nyanga,2026-05-17,13
Kalonda Ouest,2026-05-17,13
Kamonia,2026-05-17,13
Mutena,2026-05-17,13
Banga Lubaka,2026-05-17,13
Kamwesha,2026-05-17,13
Mweka,2026-05-17,13
Moba,2026-05-17,13
Bogosenubia,2026-05-17,13
Moanda,2026-05-17,13
Kitona,2026-05-17,13
Boma,2026-05-17,13
Boma Bungu,2026-05-17,13
Seke-Banza,2026-05-17,13
Inga,2026-05-17,13
Lukula,2026-05-17,13
Tshela,2026-05-17,13
Vaku,2026-05-17,13
Kizu,2026-05-17,13
Kibunzi,2026-05-17,13
Luozi,2026-05-17,13
Kimpangu,2026-05-17,13
Ngidinga,2026-05-17,13
Boko-Kivulu,2026-05-17,13
Mbanza-Ngungu,2026-05-17,13
Kwilu-Ngongo,2026-05-17,13
Kisantu,2026-05-17,13
Mikope,2026-05-17,13
Oshwe,2026-05-17,13
Bosobe,2026-05-17,13
Bokoro,2026-05-17,13
Masi-Manimba,2026-05-17,13
Yasa-Bonga,2026-05-17,13
Idiofa,2026-05-17,13
Ipamu,2026-05-17,13
Koshibanda,2026-05-17,13
Kingandu,2026-05-17,13
Bulungu,2026-05-17,13
Bagata,2026-05-17,13
Bandundu,2026-05-17,13
Kajiji,2026-05-17,13
Kikwit-Nord,2026-05-17,13
Lusanga,2026-05-17,13
Feshi,2026-05-17,13
Wamba Lwadi,2026-05-17,13
Panzi,2026-05-17,13
Tembo,2026-05-17,13
Moanza,2026-05-17,13
Kimbau,2026-05-17,13
Kenge,2026-05-17,13
Boko,2026-05-17,13
Viadana,2026-05-17,13
Poko,2026-05-17,13
Basali,2026-05-17,13
Basoko,2026-05-17,13
Bengamisa,2026-05-17,13
Yakusu,2026-05-17,13
Yahisuli,2026-05-17,13
Yabaondo,2026-05-17,13
Isangi,2026-05-17,13
Yaleko,2026-05-17,13
Banalia,2026-05-17,13
Bafwasende,2026-05-17,13
Bafwagbogbo,2026-05-17,13
Buta,2026-05-17,13
Titule,2026-05-17,13
Ganga,2026-05-17,13
Vanga,2026-05-17,13
Djuma,2026-05-17,13
Sia,2026-05-17,13
Mungindu,2026-05-17,13
Kimputu,2026-05-17,13
Mosango,2026-05-17,13
Pay Kongila,2026-05-17,13
Matadi,2026-05-17,13
Nzanza,2026-05-17,13
Ndjili,2026-05-17,13
Mont Ngafula I,2026-05-17,13
Biyela,2026-05-17,13
Kikimi,2026-05-17,13
Lemba,2026-05-17,13
Matete,2026-05-17,13
Kisenso,2026-05-17,13
Lingwala,2026-05-17,13
Barumbu,2026-05-17,13
Kinshasa,2026-05-17,13
Limete,2026-05-17,13
Kalamu II,2026-05-17,13
Kalamu I,2026-05-17,13
Bumbu,2026-05-17,13
Makala,2026-05-17,13
Ngaba,2026-05-17,13
Bandalungwa,2026-05-17,13
Selembao,2026-05-17,13
Masina I,2026-05-17,13
Kintambo,2026-05-17,13
Kasa-Vubu,2026-05-17,13
Ngiri-Ngiri,2026-05-17,13
Binza Meteo,2026-05-17,13
Binza Ozone,2026-05-17,13
Kikongo,2026-05-17,13
Mont Ngafula II,2026-05-17,13
Sona-Bata,2026-05-17,13
Nsele,2026-05-17,13
Kanzala,2026-05-17,13
Tshikapa,2026-05-17,13
Kingasani,2026-05-17,13
Kimbanseke,2026-05-17,13
Bwamanda,2026-05-17,13
Kungu,2026-05-17,13
Loko,2026-05-17,13
Bangabola,2026-05-17,13
Boso Mondanda,2026-05-17,13
Budjala,2026-05-17,13
Binga,2026-05-17,13
Yamaluka,2026-05-17,13
Boso Manzi,2026-05-17,13
Karawa,2026-05-17,13
Bominenge,2026-05-17,13
Gemena,2026-05-17,13
Mbaya,2026-05-17,13
Bulu,2026-05-17,13
Tandala,2026-05-17,13
Kibombo,2026-05-17,13
Kindu,2026-05-17,13
Alunguli,2026-05-17,13
Kokolo,2026-05-17,13
Police,2026-05-17,13
Makiso-Kisangani,2026-05-17,13
Mangobo,2026-05-17,13
Kabondo,2026-05-17,13
Tshopo,2026-05-17,13
Kaniama,2026-05-17,13
Kalemie,2026-05-17,13
Kansimba,2026-05-17,13
Butumba,2026-05-17,13
Kinkondja,2026-05-17,13
Baka,2026-05-17,13
Kiyambi,2026-05-17,13
Manono,2026-05-17,13
Samba,2026-05-17,13
Kasongo,2026-05-17,13
Kunda,2026-05-17,13
Saramabila,2026-05-17,13
Kampene,2026-05-17,13
Nyemba,2026-05-17,13
Nyunzu,2026-05-17,13
Kabambare,2026-05-17,13
Pangi,2026-05-17,13
Kalima,2026-05-17,13
Yalimbongo,2026-05-17,13
Aketi,2026-05-17,13
Lolo,2026-05-17,13
Yamongili,2026-05-17,13
Abuzi,2026-05-17,13
Yambuku,2026-05-17,13
Wasolo,2026-05-17,13
Bosondjo,2026-05-17,13
Bumba,2026-05-17,13
Mondombe,2026-05-17,13
Djolu,2026-05-17,13
Opienge,2026-05-17,13
Obokote,2026-05-17,13
Lowa,2026-05-17,13
Wanierukula,2026-05-17,13
Lubutu,2026-05-17,13
Kitenda,2026-05-17,13
Kasongo Lunda,2026-05-17,13
Popokabaka,2026-05-17,13
Kimvula,2026-05-17,13
Maluku I,2026-05-17,13
Kimpese,2026-05-17,13
Nsona-Mpangu,2026-05-17,13
Kangu,2026-05-17,13
Kuimba,2026-05-17,13
Kinkonzi,2026-05-17,13
Mangembo,2026-05-17,13
Gombe-Matadi,2026-05-17,13
Masa,2026-05-17,13
Bokonzi,2026-05-17,13
Mawuya,2026-05-17,13
Zongo,2026-05-17,13
Libenge,2026-05-17,13
Bili (Nord-Ubangi),2026-05-17,13
Gbadolite,2026-05-17,13
Mobayi Mbongo,2026-05-17,13
Yakoma,2026-05-17,13
Monga,2026-05-17,13
Bondo,2026-05-17,13
Bili (Bas-Uele),2026-05-17,13
Ango,2026-05-17,13
Opala,2026-05-17,13
Kahemba,2026-05-17,13
Gungu,2026-05-17,13
Kitangwa,2026-05-17,13
Mukedi,2026-05-17,13
Kongolo,2026-05-17,13
Mbulula,2026-05-17,13
Kabalo,2026-05-17,13
Bukama,2026-05-17,13
Kabondo Dianda,2026-05-17,13
Kabongo,2026-05-17,13
Songa,2026-05-17,13
Kayamba,2026-05-17,13
Kitenge,2026-05-17,13
Ankoro,2026-05-17,13
Mulongo,2026-05-17,13
Lwamba,2026-05-17,13
Mukanga,2026-05-17,13
Malemba,2026-05-17,13
Kinda,2026-05-17,13
Kamina,2026-05-17,13
Kikwit-Sud,2026-05-17,13
Kenya,2026-05-17,13
Kamalondo,2026-05-17,13
Tshamilemba,2026-05-17,13
Pweto,2026-05-17,13
Lukafu,2026-05-17,13
Mufunga Sampwe,2026-05-17,13
Kilwa,2026-05-17,13
Kapolowe,2026-05-17,13
Panda,2026-05-17,13
Kashobwe,2026-05-17,13
Kampemba,2026-05-17,13
Rwashi,2026-05-17,13
Bena Tshiadi,2026-05-17,13
Yangala,2026-05-17,13
Ilebo,2026-05-17,13
Luebo,2026-05-17,13
Bena Leka,2026-05-17,13
Muetshi,2026-05-17,13
Tshikula,2026-05-17,13
Dibaya,2026-05-17,13
Kalomba,2026-05-17,13
Tshibala,2026-05-17,13
Mushenge,2026-05-17,13
Bulape,2026-05-17,13
Masuika,2026-05-17,13
Luiza,2026-05-17,13
Katoka,2026-05-17,13
Ndesha,2026-05-17,13
Tshikaji,2026-05-17,13
Bilomba,2026-05-17,13
Ndekesha,2026-05-17,13
Bunkonde,2026-05-17,13
Mikalayi,2026-05-17,13
Luambo,2026-05-17,13
Katende,2026-05-17,13
Ndjoko-Mpunda,2026-05-17,13
Lubondaie,2026-05-17,13
Kakenge,2026-05-17,13
Rwampara,2026-05-17,13
Bunia,2026-05-17,13
Jiba,2026-05-17,13
Linga,2026-05-17,13
Mangala,2026-05-17,13
Damas,2026-05-17,13
Fataki,2026-05-17,13
Drodro,2026-05-17,13
Tchomia,2026-05-17,13
Rethy,2026-05-17,13
Nyakunde,2026-05-17,13
Nizi,2026-05-17,13
Bambu,2026-05-17,13
Kilo,2026-05-17,13
Mongbalu,2026-05-17,13
Komanda,2026-05-17,13
Gethy,2026-05-17,13
Boga,2026-05-17,13
Nia-Nia,2026-05-17,13
Mandima,2026-05-17,13
Lolwa,2026-05-17,13
Lita,2026-05-17,13
Boma-Mangbetu,2026-05-17,13
Isiro,2026-05-17,13
Wamba,2026-05-17,13
Doruma,2026-05-17,13
Pawa,2026-05-17,13
Niangara,2026-05-17,13
Rungu,2026-05-17,13
Mambasa,2026-05-17,13
Rimba,2026-05-17,13
Logo,2026-05-17,13
Angumu,2026-05-17,13
Nyarambe,2026-05-17,13
Mahagi,2026-05-17,13
Makoro,2026-05-17,13
Kambala,2026-05-17,13
Biringi,2026-05-17,13
Laybo,2026-05-17,13
Ariwara,2026-05-17,13
Adi,2026-05-17,13
Aru,2026-05-17,13
Adja,2026-05-17,13
Aungba,2026-05-17,13
Faradje,2026-05-17,13
Gombari,2026-05-17,13
Dungu,2026-05-17,13
Watsa,2026-05-17,13
Demba,2026-05-17,13
Mutoto,2026-05-17,13
Lubunga (Kasaï-Central),2026-05-17,13
Kananga,2026-05-17,13
Maluku II,2026-05-17,13
Nselo,2026-05-17,13
Lomela,2026-05-17,13
Nioki,2026-05-17,13
Bolobo,2026-05-17,13
Mushie,2026-05-17,13
Kwamouth,2026-05-17,13
Mokala,2026-05-17,13
Kisanji,2026-05-17,13
Lukonga,2026-05-17,13
Tunda,2026-05-17,13
Bosobolo,2026-05-17,13
Businga,2026-05-17,13
Boto,2026-05-17,13
Lisala,2026-05-17,13
Ndage,2026-05-17,13
Mwela Lembwa,2026-05-17,13
Kingabwa,2026-05-17,13
Likati,2026-05-17,13
Yahuma,2026-05-17,13
Ikela,2026-05-17,13
Lubunga (Tshopo),2026-05-17,13
Ubundu,2026-05-17,13
Kailo,2026-05-17,13
Ototo,2026-05-17,13
Tshumbe,2026-05-17,13
Lusangi,2026-05-17,13
Bobozo,2026-05-17,13
Punia,2026-05-17,13
Kyondo,2026-05-17,13
Mabalako,2026-05-17,13
Biena,2026-05-17,13
Masereka,2026-05-17,13
Lubero,2026-05-17,13
Manguredjipa,2026-05-17,13
Mutwanga,2026-05-17,13
Kamango,2026-05-17,13
Oicha,2026-05-17,13
Binza,2026-05-17,13
Rwanguba,2026-05-17,13
Rutshuru,2026-05-17,13
Birambizo,2026-05-17,13
Beni,2026-05-17,13
Vuhovi,2026-05-17,13
Musienene,2026-05-17,13
Butembo,2026-05-17,13
Katwa,2026-05-17,13
Kayna,2026-05-17,13
Goma,2026-05-17,13
Karisimbi,2026-05-17,13
Kibua,2026-05-17,13
Masisi,2026-05-17,13
Mweso,2026-05-17,13
