nom,date,national_cumulative_suspected_deaths
Tembo,2026-05-14,ND
Moanza,2026-05-14,ND
Kimbau,2026-05-14,ND
Kenge,2026-05-14,ND
Boko,2026-05-14,ND
Viadana,2026-05-14,ND
Poko,2026-05-14,ND
Basali,2026-05-14,ND
Basoko,2026-05-14,ND
Bengamisa,2026-05-14,ND
Yakusu,2026-05-14,ND
Yahisuli,2026-05-14,ND
Yabaondo,2026-05-14,ND
Isangi,2026-05-14,ND
Yaleko,2026-05-14,ND
Banalia,2026-05-14,ND
Bafwasende,2026-05-14,ND
Bafwagbogbo,2026-05-14,ND
Buta,2026-05-14,ND
Titule,2026-05-14,ND
Ganga,2026-05-14,ND
Vanga,2026-05-14,ND
Djuma,2026-05-14,ND
Sia,2026-05-14,ND
Mungindu,2026-05-14,ND
Kimputu,2026-05-14,ND
Mosango,2026-05-14,ND
Pay Kongila,2026-05-14,ND
Matadi,2026-05-14,ND
Nzanza,2026-05-14,ND
Ndjili,2026-05-14,ND
Mont Ngafula I,2026-05-14,ND
Biyela,2026-05-14,ND
Kikimi,2026-05-14,ND
Lemba,2026-05-14,ND
Matete,2026-05-14,ND
Kisenso,2026-05-14,ND
Lingwala,2026-05-14,ND
Barumbu,2026-05-14,ND
Kinshasa,2026-05-14,ND
Limete,2026-05-14,ND
Kalamu II,2026-05-14,ND
Kalamu I,2026-05-14,ND
Bumbu,2026-05-14,ND
Makala,2026-05-14,ND
Ngaba,2026-05-14,ND
Bandalungwa,2026-05-14,ND
Selembao,2026-05-14,ND
Masina I,2026-05-14,ND
Kintambo,2026-05-14,ND
Kasa-Vubu,2026-05-14,ND
Ngiri-Ngiri,2026-05-14,ND
Binza Meteo,2026-05-14,ND
Binza Ozone,2026-05-14,ND
Kikongo,2026-05-14,ND
Mont Ngafula II,2026-05-14,ND
Sona-Bata,2026-05-14,ND
Nsele,2026-05-14,ND
Kanzala,2026-05-14,ND
Tshikapa,2026-05-14,ND
Kingasani,2026-05-14,ND
Kimbanseke,2026-05-14,ND
Bwamanda,2026-05-14,ND
Kungu,2026-05-14,ND
Loko,2026-05-14,ND
Bangabola,2026-05-14,ND
Boso Mondanda,2026-05-14,ND
Budjala,2026-05-14,ND
Binga,2026-05-14,ND
Yamaluka,2026-05-14,ND
Boso Manzi,2026-05-14,ND
Karawa,2026-05-14,ND
Bominenge,2026-05-14,ND
Gemena,2026-05-14,ND
Mbaya,2026-05-14,ND
Bulu,2026-05-14,ND
Tandala,2026-05-14,ND
Kibombo,2026-05-14,ND
Kindu,2026-05-14,ND
Alunguli,2026-05-14,ND
Kokolo,2026-05-14,ND
Police,2026-05-14,ND
Makiso-Kisangani,2026-05-14,ND
Mangobo,2026-05-14,ND
Kabondo,2026-05-14,ND
Tshopo,2026-05-14,ND
Kaniama,2026-05-14,ND
Kalemie,2026-05-14,ND
Kansimba,2026-05-14,ND
Butumba,2026-05-14,ND
Kinkondja,2026-05-14,ND
Baka,2026-05-14,ND
Kiyambi,2026-05-14,ND
Manono,2026-05-14,ND
Samba,2026-05-14,ND
Kasongo,2026-05-14,ND
Kunda,2026-05-14,ND
Saramabila,2026-05-14,ND
Kampene,2026-05-14,ND
Nyemba,2026-05-14,ND
Nyunzu,2026-05-14,ND
Kabambare,2026-05-14,ND
Pangi,2026-05-14,ND
Kalima,2026-05-14,ND
Yalimbongo,2026-05-14,ND
Aketi,2026-05-14,ND
Lolo,2026-05-14,ND
Yamongili,2026-05-14,ND
Abuzi,2026-05-14,ND
Yambuku,2026-05-14,ND
Wasolo,2026-05-14,ND
Bosondjo,2026-05-14,ND
Bumba,2026-05-14,ND
Mondombe,2026-05-14,ND
Djolu,2026-05-14,ND
Opienge,2026-05-14,ND
Obokote,2026-05-14,ND
Lowa,2026-05-14,ND
Wanierukula,2026-05-14,ND
Lubutu,2026-05-14,ND
Kitenda,2026-05-14,ND
Kasongo Lunda,2026-05-14,ND
Popokabaka,2026-05-14,ND
Kimvula,2026-05-14,ND
Maluku I,2026-05-14,ND
Kimpese,2026-05-14,ND
Nsona-Mpangu,2026-05-14,ND
Kangu,2026-05-14,ND
Kuimba,2026-05-14,ND
Kinkonzi,2026-05-14,ND
Mangembo,2026-05-14,ND
Gombe-Matadi,2026-05-14,ND
Masa,2026-05-14,ND
Bokonzi,2026-05-14,ND
Mawuya,2026-05-14,ND
Zongo,2026-05-14,ND
Libenge,2026-05-14,ND
Bili (Nord-Ubangi),2026-05-14,ND
Gbadolite,2026-05-14,ND
Mobayi Mbongo,2026-05-14,ND
Yakoma,2026-05-14,ND
Monga,2026-05-14,ND
Bondo,2026-05-14,ND
Bili (Bas-Uele),2026-05-14,ND
Ango,2026-05-14,ND
Opala,2026-05-14,ND
Kahemba,2026-05-14,ND
Gungu,2026-05-14,ND
Kitangwa,2026-05-14,ND
Mukedi,2026-05-14,ND
Kongolo,2026-05-14,ND
Mbulula,2026-05-14,ND
Kabalo,2026-05-14,ND
Bukama,2026-05-14,ND
Kabondo Dianda,2026-05-14,ND
Kabongo,2026-05-14,ND
Songa,2026-05-14,ND
Kayamba,2026-05-14,ND
Kitenge,2026-05-14,ND
Ankoro,2026-05-14,ND
Mulongo,2026-05-14,ND
Lwamba,2026-05-14,ND
Mukanga,2026-05-14,ND
Malemba,2026-05-14,ND
Kinda,2026-05-14,ND
Kamina,2026-05-14,ND
Kikwit-Sud,2026-05-14,ND
Kenya,2026-05-14,ND
Kamalondo,2026-05-14,ND
Tshamilemba,2026-05-14,ND
Pweto,2026-05-14,ND
Lukafu,2026-05-14,ND
Mufunga Sampwe,2026-05-14,ND
Kilwa,2026-05-14,ND
Kapolowe,2026-05-14,ND
Panda,2026-05-14,ND
Kashobwe,2026-05-14,ND
Kampemba,2026-05-14,ND
Rwashi,2026-05-14,ND
Bena Tshiadi,2026-05-14,ND
Yangala,2026-05-14,ND
Ilebo,2026-05-14,ND
Luebo,2026-05-14,ND
Bena Leka,2026-05-14,ND
Muetshi,2026-05-14,ND
Tshikula,2026-05-14,ND
Dibaya,2026-05-14,ND
Kalomba,2026-05-14,ND
Tshibala,2026-05-14,ND
Mushenge,2026-05-14,ND
Bulape,2026-05-14,ND
Masuika,2026-05-14,ND
Luiza,2026-05-14,ND
Katoka,2026-05-14,ND
Ndesha,2026-05-14,ND
Tshikaji,2026-05-14,ND
Bilomba,2026-05-14,ND
Ndekesha,2026-05-14,ND
Bunkonde,2026-05-14,ND
Mikalayi,2026-05-14,ND
Luambo,2026-05-14,ND
Katende,2026-05-14,ND
Ndjoko-Mpunda,2026-05-14,ND
Lubondaie,2026-05-14,ND
Kakenge,2026-05-14,ND
Rwampara,2026-05-14,ND
Bunia,2026-05-14,ND
Jiba,2026-05-14,ND
Linga,2026-05-14,ND
Mangala,2026-05-14,ND
Damas,2026-05-14,ND
Fataki,2026-05-14,ND
Drodro,2026-05-14,ND
Tchomia,2026-05-14,ND
Rethy,2026-05-14,ND
Nyakunde,2026-05-14,ND
Nizi,2026-05-14,ND
Bambu,2026-05-14,ND
Kilo,2026-05-14,ND
Mongbalu,2026-05-14,ND
Komanda,2026-05-14,ND
Gethy,2026-05-14,ND
Boga,2026-05-14,ND
Nia-Nia,2026-05-14,ND
Mandima,2026-05-14,ND
Lolwa,2026-05-14,ND
Lita,2026-05-14,ND
Boma-Mangbetu,2026-05-14,ND
Isiro,2026-05-14,ND
Wamba,2026-05-14,ND
Doruma,2026-05-14,ND
Pawa,2026-05-14,ND
Niangara,2026-05-14,ND
Rungu,2026-05-14,ND
Mambasa,2026-05-14,ND
Rimba,2026-05-14,ND
Logo,2026-05-14,ND
Angumu,2026-05-14,ND
Nyarambe,2026-05-14,ND
Mahagi,2026-05-14,ND
Makoro,2026-05-14,ND
Kambala,2026-05-14,ND
Biringi,2026-05-14,ND
Laybo,2026-05-14,ND
Ariwara,2026-05-14,ND
Adi,2026-05-14,ND
Aru,2026-05-14,ND
Adja,2026-05-14,ND
Aungba,2026-05-14,ND
Faradje,2026-05-14,ND
Gombari,2026-05-14,ND
Dungu,2026-05-14,ND
Watsa,2026-05-14,ND
Demba,2026-05-14,ND
Mutoto,2026-05-14,ND
Lubunga (Kasaï-Central),2026-05-14,ND
Kananga,2026-05-14,ND
Maluku II,2026-05-14,ND
Nselo,2026-05-14,ND
Lomela,2026-05-14,ND
Nioki,2026-05-14,ND
Bolobo,2026-05-14,ND
Mushie,2026-05-14,ND
Kwamouth,2026-05-14,ND
Mokala,2026-05-14,ND
Kisanji,2026-05-14,ND
Lukonga,2026-05-14,ND
Tunda,2026-05-14,ND
Bosobolo,2026-05-14,ND
Businga,2026-05-14,ND
Boto,2026-05-14,ND
Lisala,2026-05-14,ND
Ndage,2026-05-14,ND
Mwela Lembwa,2026-05-14,ND
Kingabwa,2026-05-14,ND
Likati,2026-05-14,ND
Yahuma,2026-05-14,ND
Ikela,2026-05-14,ND
Lubunga (Tshopo),2026-05-14,ND
Ubundu,2026-05-14,ND
Kailo,2026-05-14,ND
Ototo,2026-05-14,ND
Tshumbe,2026-05-14,ND
Lusangi,2026-05-14,ND
Bobozo,2026-05-14,ND
Punia,2026-05-14,ND
Kyondo,2026-05-14,ND
Mabalako,2026-05-14,ND
Biena,2026-05-14,ND
Masereka,2026-05-14,ND
Lubero,2026-05-14,ND
Manguredjipa,2026-05-14,ND
Mutwanga,2026-05-14,ND
Kamango,2026-05-14,ND
Oicha,2026-05-14,ND
Binza,2026-05-14,ND
Rwanguba,2026-05-14,ND
Rutshuru,2026-05-14,ND
Birambizo,2026-05-14,ND
Beni,2026-05-14,ND
Vuhovi,2026-05-14,ND
Musienene,2026-05-14,ND
Butembo,2026-05-14,ND
Katwa,2026-05-14,ND
Kayna,2026-05-14,ND
Goma,2026-05-14,ND
Karisimbi,2026-05-14,ND
Kibua,2026-05-14,ND
Masisi,2026-05-14,ND
Mweso,2026-05-14,ND
Kirotshe,2026-05-14,ND
Pinga,2026-05-14,ND
Walikale,2026-05-14,ND
Kibirizi,2026-05-14,ND
Kalunguta,2026-05-14,ND
Alimbongo,2026-05-14,ND
Nyiragongo,2026-05-14,ND
Katoyi,2026-05-14,ND
Bambo,2026-05-14,ND
Itebero,2026-05-14,ND
Mwana,2026-05-14,ND
Kaziba,2026-05-14,ND
Nyantende,2026-05-14,ND
Nyangezi,2026-05-14,ND
Kabare,2026-05-14,ND
Mubumbano,2026-05-14,ND
Walungu,2026-05-14,ND
Hauts-Plateaux,2026-05-14,ND
Kaniola,2026-05-14,ND
Kalonge,2026-05-14,ND
Bunyakiri,2026-05-14,ND
Uvira,2026-05-14,ND
Kitutu,2026-05-14,ND
Kamituga,2026-05-14,ND
Itombwe,2026-05-14,ND
Minembwe,2026-05-14,ND
Nundu,2026-05-14,ND
Ruzizi,2026-05-14,ND
Lemera,2026-05-14,ND
Fizi,2026-05-14,ND
Shabunda,2026-05-14,ND
Lulingu,2026-05-14,ND
Kalole,2026-05-14,ND
Mwenga,2026-05-14,ND
Mulungu,2026-05-14,ND
Bagira,2026-05-14,ND
Kadutu,2026-05-14,ND
Ibanda,2026-05-14,ND
Katana,2026-05-14,ND
Lualaba,2026-05-14,ND
Kafakumba,2026-05-14,ND
Kanzenze,2026-05-14,ND
Kasaji,2026-05-14,ND
Dilolo,2026-05-14,ND
Sandoa,2026-05-14,ND
Kalamba,2026-05-14,ND
Lubudi,2026-05-14,ND
Bunkeya,2026-05-14,ND
Fungurume,2026-05-14,ND
Kambove,2026-05-14,ND
Lubumbashi,2026-05-14,ND
Kisanga,2026-05-14,ND
Katuba,2026-05-14,ND
Mumbunda,2026-05-14,ND
Kipushi,2026-05-14,ND
Sakania,2026-05-14,ND
Kafubu,2026-05-14,ND
Kilela Balanda,2026-05-14,ND
Manika,2026-05-14,ND
Vangu,2026-05-14,ND
Kowe,2026-05-14,ND
Mitwaba,2026-05-14,ND
Gombe,2026-05-14,ND
Minova,2026-05-14,ND
Kalehe,2026-05-14,ND
Miti-Murhesa,2026-05-14,ND
Idjwi,2026-05-14,ND
Aba,2026-05-14,ND
Masina II,2026-05-14,ND
Kapanga,2026-05-14,ND
Dilala,2026-05-14,ND
Mutshatsha,2026-05-14,ND
Kikula,2026-05-14,ND
Kimbi Lulenge,2026-05-14,ND
Ferekeni,2026-05-14,ND
Wapinda,2026-05-14,ND
Likasi,2026-05-14,ND
Kasenga,2026-05-14,ND
Ntandembelo,2026-05-14,ND
Yumbi,2026-05-14,ND
Tshudi Loto,2026-05-14,ND
Kiri,2026-05-14,ND
Bosanga,2026-05-14,ND
Yalifafo,2026-05-14,ND
Dekese,2026-05-14,ND
Mimia,2026-05-14,ND
Makanza,2026-05-14,ND
Bomongo,2026-05-14,ND
Lolanga Mampoko,2026-05-14,ND
Penjwa,2026-05-14,ND
Bokungu,2026-05-14,ND
Wema,2026-05-14,ND
Befale,2026-05-14,ND
Lotumbe,2026-05-14,ND
Monkoto,2026-05-14,ND
Djombo,2026-05-14,ND
Bongandanga,2026-05-14,ND
Lingomo,2026-05-14,ND
Basankusu,2026-05-14,ND
Boende,2026-05-14,ND
Mompono,2026-05-14,ND
Monieka,2026-05-14,ND
Banjow Moke,2026-05-14,ND
Inongo,2026-05-14,ND
Wangata,2026-05-14,ND
Bolenge,2026-05-14,ND
Bolomba,2026-05-14,ND
Ingende,2026-05-14,ND
Iboko,2026-05-14,ND
Irebu,2026-05-14,ND
Mbandaka,2026-05-14,ND
Lukolela,2026-05-14,ND
Bikoro,2026-05-14,ND
Ntondo,2026-05-14,ND
Lilanga Bobangi,2026-05-14,ND
Wembo Nyama,2026-05-17,ND
Kole,2026-05-17,ND
Pania Mutombo,2026-05-17,ND
Minga,2026-05-17,ND
Lusambo,2026-05-17,ND
Dikungu,2026-05-17,ND
Vanga Kete,2026-05-17,ND
Lodja,2026-05-17,ND
Omendjadi,2026-05-17,ND
Djalo Djeka,2026-05-17,ND
Katako Kombe,2026-05-17,ND
Bena Dibele,2026-05-17,ND
Kamiji,2026-05-17,ND
Tshitenge,2026-05-17,ND
Miabi,2026-05-17,ND
Ngandajika,2026-05-17,ND
Mulumba,2026-05-17,ND
Tshilenge,2026-05-17,ND
Cilundu,2026-05-17,ND
Lubao,2026-05-17,ND
Kalonda Est,2026-05-17,ND
Kabinda,2026-05-17,ND
Ludimbi Lukula,2026-05-17,ND
Kalambayi Kabanga,2026-05-17,ND
Makota,2026-05-17,ND
Mwene Ditu,2026-05-17,ND
Wikong,2026-05-17,ND
Luputa,2026-05-17,ND
Kanda Kanda,2026-05-17,ND
Bonzola,2026-05-17,ND
Dibindi,2026-05-17,ND
Kansele,2026-05-17,ND
Muya,2026-05-17,ND
Diulu,2026-05-17,ND
Bipemba,2026-05-17,ND
Mpokolo,2026-05-17,ND
Nzaba,2026-05-17,ND
Kabeya Kamuanga,2026-05-17,ND
Mukumbi,2026-05-17,ND
Lukelenge,2026-05-17,ND
Tshishimbi,2026-05-17,ND
Lubilanji,2026-05-17,ND
Kamana,2026-05-17,ND
Kasansa,2026-05-17,ND
Bibanga,2026-05-17,ND
Kalenda,2026-05-17,ND
Tshofa,2026-05-17,ND
Pimu,2026-05-17,ND
Nyanga,2026-05-17,ND
Kalonda Ouest,2026-05-17,ND
Kamonia,2026-05-17,ND
Mutena,2026-05-17,ND
Banga Lubaka,2026-05-17,ND
Kamwesha,2026-05-17,ND
Mweka,2026-05-17,ND
Moba,2026-05-17,ND
Bogosenubia,2026-05-17,ND
Moanda,2026-05-17,ND
Kitona,2026-05-17,ND
Boma,2026-05-17,ND
Boma Bungu,2026-05-17,ND
Seke-Banza,2026-05-17,ND
Inga,2026-05-17,ND
Lukula,2026-05-17,ND
Tshela,2026-05-17,ND
Vaku,2026-05-17,ND
Kizu,2026-05-17,ND
Kibunzi,2026-05-17,ND
Luozi,2026-05-17,ND
Kimpangu,2026-05-17,ND
Ngidinga,2026-05-17,ND
Boko-Kivulu,2026-05-17,ND
Mbanza-Ngungu,2026-05-17,ND
Kwilu-Ngongo,2026-05-17,ND
Kisantu,2026-05-17,ND
Mikope,2026-05-17,ND
Oshwe,2026-05-17,ND
Bosobe,2026-05-17,ND
Bokoro,2026-05-17,ND
Masi-Manimba,2026-05-17,ND
Yasa-Bonga,2026-05-17,ND
Idiofa,2026-05-17,ND
Ipamu,2026-05-17,ND
Koshibanda,2026-05-17,ND
Kingandu,2026-05-17,ND
Bulungu,2026-05-17,ND
Bagata,2026-05-17,ND
Bandundu,2026-05-17,ND
Kajiji,2026-05-17,ND
Kikwit-Nord,2026-05-17,ND
Lusanga,2026-05-17,ND
Feshi,2026-05-17,ND
Wamba Lwadi,2026-05-17,ND
Panzi,2026-05-17,ND
Tembo,2026-05-17,ND
Moanza,2026-05-17,ND
Kimbau,2026-05-17,ND
Kenge,2026-05-17,ND
Boko,2026-05-17,ND
Viadana,2026-05-17,ND
Poko,2026-05-17,ND
Basali,2026-05-17,ND
Basoko,2026-05-17,ND
Bengamisa,2026-05-17,ND
Yakusu,2026-05-17,ND
Yahisuli,2026-05-17,ND
Yabaondo,2026-05-17,ND
Isangi,2026-05-17,ND
Yaleko,2026-05-17,ND
Banalia,2026-05-17,ND
Bafwasende,2026-05-17,ND
Bafwagbogbo,2026-05-17,ND
Buta,2026-05-17,ND
Titule,2026-05-17,ND
Ganga,2026-05-17,ND
Vanga,2026-05-17,ND
Djuma,2026-05-17,ND
Sia,2026-05-17,ND
Mungindu,2026-05-17,ND
Kimputu,2026-05-17,ND
Mosango,2026-05-17,ND
Pay Kongila,2026-05-17,ND
Matadi,2026-05-17,ND
Nzanza,2026-05-17,ND
Ndjili,2026-05-17,ND
Mont Ngafula I,2026-05-17,ND
Biyela,2026-05-17,ND
Kikimi,2026-05-17,ND
Lemba,2026-05-17,ND
Matete,2026-05-17,ND
Kisenso,2026-05-17,ND
Lingwala,2026-05-17,ND
Barumbu,2026-05-17,ND
Kinshasa,2026-05-17,ND
Limete,2026-05-17,ND
Kalamu II,2026-05-17,ND
Kalamu I,2026-05-17,ND
Bumbu,2026-05-17,ND
Makala,2026-05-17,ND
Ngaba,2026-05-17,ND
Bandalungwa,2026-05-17,ND
Selembao,2026-05-17,ND
Masina I,2026-05-17,ND
Kintambo,2026-05-17,ND
Kasa-Vubu,2026-05-17,ND
Ngiri-Ngiri,2026-05-17,ND
Binza Meteo,2026-05-17,ND
Binza Ozone,2026-05-17,ND
Kikongo,2026-05-17,ND
Mont Ngafula II,2026-05-17,ND
Sona-Bata,2026-05-17,ND
Nsele,2026-05-17,ND
Kanzala,2026-05-17,ND
Tshikapa,2026-05-17,ND
Kingasani,2026-05-17,ND
Kimbanseke,2026-05-17,ND
Bwamanda,2026-05-17,ND
Kungu,2026-05-17,ND
Loko,2026-05-17,ND
Bangabola,2026-05-17,ND
Boso Mondanda,2026-05-17,ND
Budjala,2026-05-17,ND
Binga,2026-05-17,ND
Yamaluka,2026-05-17,ND
Boso Manzi,2026-05-17,ND
Karawa,2026-05-17,ND
Bominenge,2026-05-17,ND
Gemena,2026-05-17,ND
Mbaya,2026-05-17,ND
Bulu,2026-05-17,ND
Tandala,2026-05-17,ND
Kibombo,2026-05-17,ND
Kindu,2026-05-17,ND
Alunguli,2026-05-17,ND
Kokolo,2026-05-17,ND
Police,2026-05-17,ND
Makiso-Kisangani,2026-05-17,ND
Mangobo,2026-05-17,ND
Kabondo,2026-05-17,ND
Tshopo,2026-05-17,ND
Kaniama,2026-05-17,ND
Kalemie,2026-05-17,ND
Kansimba,2026-05-17,ND
Butumba,2026-05-17,ND
Kinkondja,2026-05-17,ND
Baka,2026-05-17,ND
Kiyambi,2026-05-17,ND
Manono,2026-05-17,ND
Samba,2026-05-17,ND
Kasongo,2026-05-17,ND
Kunda,2026-05-17,ND
Saramabila,2026-05-17,ND
Kampene,2026-05-17,ND
Nyemba,2026-05-17,ND
Nyunzu,2026-05-17,ND
Kabambare,2026-05-17,ND
Pangi,2026-05-17,ND
Kalima,2026-05-17,ND
Yalimbongo,2026-05-17,ND
Aketi,2026-05-17,ND
Lolo,2026-05-17,ND
Yamongili,2026-05-17,ND
Abuzi,2026-05-17,ND
Yambuku,2026-05-17,ND
Wasolo,2026-05-17,ND
Bosondjo,2026-05-17,ND
Bumba,2026-05-17,ND
Mondombe,2026-05-17,ND
Djolu,2026-05-17,ND
Opienge,2026-05-17,ND
Obokote,2026-05-17,ND
Lowa,2026-05-17,ND
Wanierukula,2026-05-17,ND
Lubutu,2026-05-17,ND
Kitenda,2026-05-17,ND
Kasongo Lunda,2026-05-17,ND
Popokabaka,2026-05-17,ND
Kimvula,2026-05-17,ND
Maluku I,2026-05-17,ND
Kimpese,2026-05-17,ND
Nsona-Mpangu,2026-05-17,ND
Kangu,2026-05-17,ND
Kuimba,2026-05-17,ND
Kinkonzi,2026-05-17,ND
Mangembo,2026-05-17,ND
Gombe-Matadi,2026-05-17,ND
Masa,2026-05-17,ND
Bokonzi,2026-05-17,ND
Mawuya,2026-05-17,ND
Zongo,2026-05-17,ND
Libenge,2026-05-17,ND
Bili (Nord-Ubangi),2026-05-17,ND
Gbadolite,2026-05-17,ND
Mobayi Mbongo,2026-05-17,ND
Yakoma,2026-05-17,ND
Monga,2026-05-17,ND
Bondo,2026-05-17,ND
Bili (Bas-Uele),2026-05-17,ND
Ango,2026-05-17,ND
Opala,2026-05-17,ND
Kahemba,2026-05-17,ND
Gungu,2026-05-17,ND
Kitangwa,2026-05-17,ND
Mukedi,2026-05-17,ND
Kongolo,2026-05-17,ND
Mbulula,2026-05-17,ND
Kabalo,2026-05-17,ND
Bukama,2026-05-17,ND
Kabondo Dianda,2026-05-17,ND
Kabongo,2026-05-17,ND
Songa,2026-05-17,ND
Kayamba,2026-05-17,ND
Kitenge,2026-05-17,ND
Ankoro,2026-05-17,ND
Mulongo,2026-05-17,ND
Lwamba,2026-05-17,ND
Mukanga,2026-05-17,ND
Malemba,2026-05-17,ND
Kinda,2026-05-17,ND
Kamina,2026-05-17,ND
Kikwit-Sud,2026-05-17,ND
Kenya,2026-05-17,ND
Kamalondo,2026-05-17,ND
Tshamilemba,2026-05-17,ND
Pweto,2026-05-17,ND
Lukafu,2026-05-17,ND
Mufunga Sampwe,2026-05-17,ND
Kilwa,2026-05-17,ND
Kapolowe,2026-05-17,ND
Panda,2026-05-17,ND
Kashobwe,2026-05-17,ND
Kampemba,2026-05-17,ND
Rwashi,2026-05-17,ND
Bena Tshiadi,2026-05-17,ND
Yangala,2026-05-17,ND
Ilebo,2026-05-17,ND
Luebo,2026-05-17,ND
Bena Leka,2026-05-17,ND
Muetshi,2026-05-17,ND
Tshikula,2026-05-17,ND
Dibaya,2026-05-17,ND
Kalomba,2026-05-17,ND
Tshibala,2026-05-17,ND
Mushenge,2026-05-17,ND
Bulape,2026-05-17,ND
Masuika,2026-05-17,ND
Luiza,2026-05-17,ND
Katoka,2026-05-17,ND
Ndesha,2026-05-17,ND
Tshikaji,2026-05-17,ND
Bilomba,2026-05-17,ND
Ndekesha,2026-05-17,ND
Bunkonde,2026-05-17,ND
Mikalayi,2026-05-17,ND
Luambo,2026-05-17,ND
Katende,2026-05-17,ND
Ndjoko-Mpunda,2026-05-17,ND
Lubondaie,2026-05-17,ND
Kakenge,2026-05-17,ND
Rwampara,2026-05-17,ND
Bunia,2026-05-17,ND
Jiba,2026-05-17,ND
Linga,2026-05-17,ND
Mangala,2026-05-17,ND
Damas,2026-05-17,ND
Fataki,2026-05-17,ND
Drodro,2026-05-17,ND
Tchomia,2026-05-17,ND
Rethy,2026-05-17,ND
Nyakunde,2026-05-17,ND
Nizi,2026-05-17,ND
Bambu,2026-05-17,ND
Kilo,2026-05-17,ND
Mongbalu,2026-05-17,ND
Komanda,2026-05-17,ND
Gethy,2026-05-17,ND
Boga,2026-05-17,ND
Nia-Nia,2026-05-17,ND
Mandima,2026-05-17,ND
Lolwa,2026-05-17,ND
Lita,2026-05-17,ND
Boma-Mangbetu,2026-05-17,ND
Isiro,2026-05-17,ND
Wamba,2026-05-17,ND
Doruma,2026-05-17,ND
Pawa,2026-05-17,ND
Niangara,2026-05-17,ND
Rungu,2026-05-17,ND
Mambasa,2026-05-17,ND
Rimba,2026-05-17,ND
Logo,2026-05-17,ND
Angumu,2026-05-17,ND
Nyarambe,2026-05-17,ND
Mahagi,2026-05-17,ND
Makoro,2026-05-17,ND
Kambala,2026-05-17,ND
Biringi,2026-05-17,ND
Laybo,2026-05-17,ND
Ariwara,2026-05-17,ND
Adi,2026-05-17,ND
Aru,2026-05-17,ND
Adja,2026-05-17,ND
Aungba,2026-05-17,ND
Faradje,2026-05-17,ND
Gombari,2026-05-17,ND
