nom,Bunia,Boga,Gethy,Komanda,Nyakunde,Rwampara,Lolwa,Mambasa,Mandima,Nia-Nia,Bambu,Damas,Drodro,Fataki,Jiba,Kilo,Linga,Lita,Mangala,Mongbalu,Nizi,Rethy,Tchomia,Angumu,Aungba,Kambala,Logo,Mahagi,Nyarambe,Rimba,Adi,Adja,Ariwara,Aru,Biringi,Laybo,Goma,Kayna,Manguredjipa,Masereka,Oicha,Beni,Butembo,Rutshuru
Bambu,174,55,0,0,0,0,0,0,0,0,4807,0,0,0,0,0,160,0,0,685,0,0,0,0,150,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damas,2194,0,0,0,0,0,0,0,0,0,0,1132,0,0,0,0,0,0,0,2141,0,0,0,0,200,0,0,355,0,0,0,0,0,0,519,0,0,0,0,0,0,0,0,0
Drodro,194,0,0,0,0,70,0,0,0,0,0,306,5594,206,0,95,3395,0,0,597,857,0,0,0,1207,0,0,115,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Fataki,6312,0,0,0,0,5,0,0,0,0,0,0,563,5769,0,376,3245,0,5933,338,3536,7688,0,90,2555,0,210,962,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jiba,13,55,0,0,0,0,0,0,0,0,0,124,160,0,1442,0,6880,0,35,0,0,453,0,0,58,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kilo,2070,0,0,0,0,44,0,0,0,0,26,0,0,0,0,170,0,0,0,2123,0,0,0,0,0,0,35,4744,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
Linga,1472,0,0,0,0,14,0,0,0,0,0,46,0,0,0,0,12164,318,0,597,0,2495,0,140,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lita,3860,0,0,0,0,20,0,0,0,0,10,0,0,0,0,340,90,5727,891,100,0,8,0,0,850,0,89,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mangala,538,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,192,2626,277,1978,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mongbalu,1313,0,0,0,0,11,0,0,0,0,0,45,0,0,0,125,0,0,218,2478,126,72,0,0,106,0,3770,598,399,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0
Nizi,10902,0,0,0,0,19,0,0,0,0,0,0,0,2500,0,0,0,21979,280,56,9125,0,0,0,920,0,0,77,69,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0
Rethy,545,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,9880,0,0,0,0,3633,142,1746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tchomia,1057,0,0,0,0,21,0,0,0,0,0,0,0,0,0,140,822,72,1686,0,0,0,2086,15632,0,0,463,2327,6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angumu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002,0,724,290,0,4870,2834,699,1016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aungba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,32,19061,0,2699,15126,0,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kambala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,3688,49203,0,1871,3975,4432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,0,0,0,0,2257,0,0,100,0,29005,111,0,1635,0,0,0,0,264,0,0,0,0,0,0,0,0,0
Mahagi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,360,0,2301,0,340,0,0,0,0,2074,16,0,0,0,0,0,0,0,0
Nyarambe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,643,32,8717,870,0,0,0,0,51,0,0,0,0,0,0,0,0,0
Rimba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,1346,0,499,1512,0,41528,0,0,0,0,469,0,0,0,0,0,0,0,0,0
Adi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adja,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0
Ariwara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0
Aru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,920,0,0,0,0,0,0,0,0,4514,0,2,0,0,0,0,0,0,0,0
Biringi,0,166,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,72,0,0,0,226,0,0,0,0,0,0,0,0,0
Laybo,0,281,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Goma,0,0,0,5000,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kayna,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manguredjipa,0,0,0,18,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Masereka,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oicha,18,0,0,120,0,0,423,125,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beni,0,0,0,110,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butembo,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutshuru,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
